,Nameplayerid,Seasonplayerid,playeridplayerid,weightwRCplayerid,weightHRplayerid,weightPAplayerid,weightABplayerid,weightRplayerid,weightHplayerid,weight2Bplayerid,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI,Nameplayerid,Seasonplayerid,playeridplayerid,weightBABIP,weightOBPplayerid,weightwOBAplayerid,weightOPSplayerid,weightwRC+playerid,weightwRAAplayerid,weight1B,AVGPredicted,linearSvrAVG,svrAVG,BayesRidgeAVG,HuberRegressorAVG,RidgeAVG,ARDRegressionAVG,Nameplayerid,Seasonplayerid,playeridplayerid,weightRBIplayerid,weightISOplayerid,weightwRCplayerid,weightSLGplayerid,weightRplayerid,weightHRFB,weightOPSplayerid,HRsPredicted,linearSvrHR,SvrHR,BayesRidgeHR,HuberRegressorHR,RidgeHR,ARDRegressionHR,Nameplayerid,Seasonplayerid,playeridplayerid,weightwOBAplayerid,weightwRC+playerid,weightSLGplayerid,weightwRAAplayerid,weightOBPplayerid,weightISOplayerid,weightHRplayerid,opsPredicted,linearSvrOPS,svrOPS,BayesRidgeOPS,HuberRegressorOPS,RidgeOPS,ARDRegressionOPS,Name,Season,playerid,weightWRC,weightPAplayerid,weightHplayerid,weightABplayerid,weightRBIplayerid,weightG,weight2Bplayerid,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns,runs,hr,rbi,avg,ops
10,Adrian Beltre,2017,639,1.524001344,1.462805996,1.180169084,1.235282694,1.409703894,1.532246874,1.12391579,89.35749598,86.87852704,90.73888765,89.21561081,89.30875947,88.17958099,89.26178977,Adrian Beltre,2017,639,-0.061182445,0.913560574,1.161352252,1.266157251,0.911720884,1.408886564,1.391297539,0.285019357,0.294120272,0.254,0.285052821,0.285048467,0.285051537,0.285727126,Adrian Beltre,2017,639,1.774996243,0.847734974,1.524001344,1.284299908,1.409703894,0.259186305,1.266157251,24.06141132,23.38312954,24.76363395,24.07000575,23.64470333,24.07755158,24.08580576,Adrian Beltre,2017,639,1.161352252,0.911720884,1.284299908,1.408886564,0.913560574,0.847734974,1.462805996,0.851486933,0.850509752,0.802888826,0.851486871,0.8515,0.851264495,0.851717245,Adrian Beltre,2017,639,1.524001344,1.180169084,1.532246874,1.235282694,1.774996243,1.025025112,1.12391579,82.63723064,82.59569933,86.81487008,82.64448373,82.24827813,82.70001487,82.64509186,47,17,71,0.312,0.915
11,J.P. Arencibia,2017,697,-1.366470523,-0.300286323,-1.479085915,-1.459627227,-1.353827137,-1.627466089,-1.234398044,26.60709179,27.15197084,27.87305576,26.68887147,26.39218751,27.26386793,26.64949391,J.P. Arencibia,2017,697,-2.882186164,-2.356353481,-1.305458265,-1.309273643,-1.34433603,-0.741644588,-1.769322344,0.174572116,0.161824059,0.254,0.175334243,0.175219199,0.175281488,0.181264813,J.P. Arencibia,2017,697,-0.608196522,0.715072836,-1.366470523,-0.603988787,-1.353827137,0.434764023,-1.309273643,14.93958118,14.22993298,10.57936482,14.90274241,14.70184933,14.86973531,14.89460931,J.P. Arencibia,2017,697,-1.305458265,-1.34433603,-0.603988787,-0.741644588,-2.356353481,0.715072836,-0.300286323,0.608070802,0.608075143,0.701004091,0.608071174,0.608,0.609135953,0.607820147,J.P. Arencibia,2017,697,-1.366470523,-1.479085915,-1.627466089,-1.459627227,-0.608196522,-1.921053652,-1.234398044,18.65874701,17.38845211,24.40000883,18.6139574,18.40778207,18.48730816,18.47339145,#N/A,#N/A,#N/A,#N/A,#N/A
12,Torii Hunter,2017,731,0.277765231,0.428896462,0.495153042,0.568080727,0.415012061,0.490446777,0.422795998,62.58671524,61.48758833,61.81618842,62.56615646,62.27929525,62.41015104,62.56509298,Torii Hunter,2017,731,-0.269890699,-0.268772498,0.015681119,0.010209086,0.034974779,-0.007124508,0.458704765,0.257001708,0.257183562,0.254,0.257177978,0.257190245,0.257166124,0.258091122,Torii Hunter,2017,731,0.755182686,0.125026303,0.277765231,0.152594554,0.415012061,0.23104333,0.010209086,17.02804493,16.59632864,17.94418887,17.03946264,16.76174257,17.04955981,17.06598563,Torii Hunter,2017,731,0.015681119,0.034974779,0.152594554,-0.007124508,-0.268772498,0.125026303,0.428896462,0.732888867,0.73272205,0.766965162,0.732888947,0.732857116,0.733099731,0.732866026,Torii Hunter,2017,731,0.277765231,0.495153042,0.490446777,0.568080727,0.755182686,0.431098011,0.422795998,59.26845853,59.07073847,58.53456434,59.27133872,59.0341185,59.30491065,59.27489968,#N/A,#N/A,#N/A,#N/A,#N/A
13,David Ortiz,2017,745,2.222836947,2.627515467,1.108016235,0.927955688,0.950506895,1.217905496,2.287350614,115.4583933,110.9887857,89.99171977,115.150929,115.9031989,112.8885606,115.1716673,David Ortiz,2017,745,-0.245988084,1.776612803,2.245457637,2.556514707,2.089137627,2.817660742,0.25107391,0.286724948,0.302723565,0.254,0.285969939,0.286721661,0.286021006,0.286071627,David Ortiz,2017,745,2.728273349,2.566815174,2.222836947,2.632658346,0.950506895,1.271242774,2.556514707,35.76903219,34.71175774,31.36255975,35.74038315,35.22084041,35.71450726,35.61265855,David Ortiz,2017,745,2.245457637,2.089137627,2.632658346,2.817660742,1.776612803,2.566815174,2.627515467,0.973590199,0.971542896,0.886529131,0.973589801,0.9737,0.972501504,0.974144649,David Ortiz,2017,745,2.222836947,1.108016235,1.217905496,0.927955688,2.728273349,0.994372269,2.287350614,87.63945535,88.52883725,82.95269778,87.8215344,87.2174956,88.3648885,87.9432022,#N/A,#N/A,#N/A,#N/A,#N/A
14,A.J. Pierzynski,2017,746,-0.978635057,-0.898669171,-0.826460147,-0.726826277,-1.23276611,-0.661157408,-0.35396088,32.57034704,30.9764961,29.52696625,32.50937858,32.31129354,32.0479619,32.48325272,A.J. Pierzynski,2017,746,-1.020541128,-1.293916249,-1.326978967,-1.167661932,-1.383846659,-0.926378739,-0.492405239,0.223225806,0.215205868,0.254,0.222911358,0.223619875,0.222932568,0.223352584,A.J. Pierzynski,2017,746,-0.719412184,-1.005849893,-0.978635057,-0.954650013,-1.23276611,-1.0526774,-1.167661932,4.02122249,3.867767713,4.201658515,4.000078172,4.05751413,3.981871141,4.002582214,A.J. Pierzynski,2017,746,-1.326978967,-1.383846659,-0.954650013,-0.926378739,-1.293916249,-1.005849893,-0.898669171,0.621374984,0.622054705,0.681118683,0.621374774,0.6214,0.62078906,0.6212101,A.J. Pierzynski,2017,746,-0.978635057,-0.826460147,-0.661157408,-0.726826277,-0.719412184,-0.909509845,-0.35396088,29.48922542,30.04887653,31.80098723,29.53653142,29.46669809,29.70318741,29.52621116,#N/A,#N/A,#N/A,#N/A,#N/A
15,Endy Chavez,2017,768,-1.000588008,-1.155118963,-1.245076676,-1.249427152,-1.270336773,-0.975498786,-0.9199562,23.35806026,21.50373408,21.35680831,23.19339085,23.35820277,22.01477862,23.23914256,Endy Chavez,2017,768,0.161671413,-0.134634872,-0.363927533,-0.463830592,-0.079995903,-0.325640201,-0.735786306,0.245923574,0.244009793,0.254,0.245810266,0.246233951,0.245816429,0.246076695,Endy Chavez,2017,768,-1.084835075,-1.072180962,-1.000588008,-0.574644752,-1.270336773,-1.337577093,-0.463830592,-0.787335719,-0.54770443,2.239068649,-0.78139769,-0.588451368,-0.775703794,-0.786771439,Endy Chavez,2017,768,-0.363927533,-0.079995903,-0.574644752,-0.325640201,-0.134634872,-1.072180962,-1.155118963,0.687996823,0.688735672,0.739632918,0.68799678,0.688,0.687909711,0.687909134,Endy Chavez,2017,768,-1.000588008,-1.245076676,-0.975498786,-1.249427152,-1.084835075,-1.342055513,-0.9199562,25.21624684,26.56076044,25.12208229,25.3880209,25.25331164,25.90125032,25.29512434,#N/A,#N/A,#N/A,#N/A,#N/A
16,Todd Frazier,2017,785,1.176412955,2.627515467,1.426528812,1.413590343,1.434751003,0.875622662,0.725622787,101.1636468,98.8005401,92.56798424,101.0693692,100.644984,100.3736693,101.1039532,Todd Frazier,2017,785,-1.284160936,-0.405228805,0.394677228,0.524280973,0.394131644,0.390028363,0.264409859,0.246583002,0.24796439,0.254,0.24662532,0.246692844,0.246622662,0.247414901,Todd Frazier,2017,785,1.715416424,1.499990484,1.176412955,0.93217148,1.434751003,1.052598823,0.524280973,30.20268535,29.10704626,32.19185096,30.19110638,29.59196912,30.18034604,30.22126438,Todd Frazier,2017,785,0.394677228,0.394131644,0.93217148,0.390028363,-0.405228805,1.499990484,2.627515467,0.781270909,0.779999416,0.785947981,0.781270998,0.7812,0.781510265,0.781316146,Todd Frazier,2017,785,1.176412955,1.426528812,0.875622662,1.413590343,1.715416424,1.300900695,0.725622787,84.72052985,80.39789362,81.83828017,84.41109283,84.03850343,83.48347531,84.44518939,74,27,76,0.213,0.772
17,Brandon Phillips,2017,791,0.444647925,-0.193432243,0.894807817,1.074370913,0.712559359,1.264474589,0.81995534,62.44624965,59.02815823,59.09547291,62.22871358,62.03794819,60.67042049,62.29574583,Brandon Phillips,2017,791,0.283969262,-0.020700585,-0.13527007,-0.059074732,-0.273597985,-0.333396215,1.644680568,0.279641625,0.280936469,0.254,0.279572197,0.279699847,0.279578413,0.277868555,Brandon Phillips,2017,791,0.563539921,-0.692619846,0.444647925,-0.07139454,0.712559359,-0.693239996,-0.059074732,11.42457999,11.1645415,9.587509719,11.44182431,11.24965597,11.45750894,11.50941049,Brandon Phillips,2017,791,-0.13527007,-0.273597985,-0.07139454,-0.333396215,-0.020700585,-0.692619846,-0.193432243,0.726285135,0.726556079,0.75311121,0.726285007,0.7263,0.725872188,0.726286066,Brandon Phillips,2017,791,0.444647925,0.894807817,1.264474589,1.074370913,0.563539921,0.738931914,0.81995534,65.06164151,66.19678261,68.91727856,65.15004072,64.89562005,65.4574308,65.11747572,81,13,60,0.285,0.735
18,Derek Jeter,2017,826,-0.04929347,-0.941410803,1.199019829,1.28022202,-0.22670723,1.003687668,-0.186258563,51.07026753,48.43412447,49.90022453,50.99368056,50.33896048,50.41671113,50.99392103,Derek Jeter,2017,826,-0.191633484,-0.504921307,-1.063350362,-1.2141613,-0.98874037,-1.33392202,1.831383852,0.260718013,0.256069886,0.254,0.261051969,0.260673584,0.261029889,0.259451287,Derek Jeter,2017,826,-0.01239833,-1.772342244,-0.04929347,-1.425621786,-0.22670723,-1.205065608,-1.2141613,5.999768197,5.936587146,5.318257106,5.985468443,6.020873175,5.973172851,5.947646737,Derek Jeter,2017,826,-1.063350362,-0.98874037,-1.425621786,-1.33392202,-0.504921307,-1.772342244,-0.941410803,0.617061344,0.618045206,0.686116885,0.617061467,0.617,0.61737758,0.616772268,Derek Jeter,2017,826,-0.04929347,1.199019829,1.003687668,1.28022202,-0.01239833,0.871760899,-0.186258563,62.38949136,63.6337259,64.02001702,62.6494492,62.20922694,63.41358184,62.38005375,#N/A,#N/A,#N/A,#N/A,#N/A
19,Alfonso Soriano,2017,847,-1.366470523,-0.727702643,-1.375081809,-1.292916823,-1.270336773,-1.301482437,-0.605514355,26.81679375,25.0629673,24.83119107,26.6875895,26.57820517,25.76260765,26.70640173,Alfonso Soriano,2017,847,-0.354697283,-2.213935621,-1.439962655,-1.277569529,-1.34433603,-0.840357493,-1.369243878,0.217360515,0.206745929,0.254,0.21717909,0.217948469,0.217190274,0.222360346,Alfonso Soriano,2017,847,-1.084835075,-0.132490821,-1.366470523,-0.633332823,-1.270336773,-0.459688503,-1.277569529,7.318692891,6.883179274,6.174742195,7.285641625,7.219106009,7.256881746,7.356220593,Alfonso Soriano,2017,847,-1.439962655,-1.34433603,-0.633332823,-0.840357493,-2.213935621,-0.132490821,-0.727702643,0.611001314,0.611434535,0.686231881,0.611001251,0.611,0.610862407,0.610821348,Alfonso Soriano,2017,847,-1.366470523,-1.375081809,-1.301482437,-1.292916823,-1.084835075,-1.784818796,-0.605514355,20.44262581,19.40653129,24.15637544,20.37877091,20.23826496,20.20247741,20.31579919,#N/A,#N/A,#N/A,#N/A,#N/A
