Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Luis Valbuena,Astros,3B,90,292,342,76,45,17,1,13,38,40,44,2,81,1,2,3,5,1,1,0.26,12.90%,23.70%,0.54,0.357,0.459,0.816,0.199,2.4,0.315,49,9.2,0.351,124,-0.4,-0.3,0.5,160,104,83,119,14.80%,48.20%,29.60%,22.20%,19.90%,44.40%,35.70%,4969
2016,Evan Longoria,Rays,3B,160,633,685,173,92,41,4,36,81,98,42,6,144,3,7,0,13,0,3,0.273,6.10%,21.00%,0.29,0.318,0.521,0.84,0.248,2.7,0.298,99,18,0.35,123,-1.5,0.6,1,76,105,72,132,15.50%,42.90%,34.50%,22.60%,17.10%,46.60%,36.30%,9368
2016,Nicholas Castellanos,Tigers,3B,110,411,447,117,70,25,4,18,54,58,28,1,111,3,5,0,4,1,1,0.285,6.30%,24.80%,0.25,0.331,0.496,0.827,0.212,3.6,0.345,64,11.6,0.35,119,-0.4,-2.6,1.8,78,125,72,121,13.70%,39.00%,34.40%,26.60%,11.50%,52.80%,35.70%,11737
2018,Josh Donaldson,Blue Jays,3B,52,187,219,46,24,14,0,8,30,23,31,2,54,0,1,0,3,2,0,0.246,14.20%,24.70%,0.57,0.352,0.449,0.801,0.203,3.4,0.302,31,5.3,0.345,117,0.3,-0.7,0.6,171,81,113,96,17.00%,40.30%,36.60%,23.10%,18.70%,40.30%,41.00%,5038
2017,Mike Moustakas,Royals,3B,148,555,598,151,89,24,0,38,75,85,34,7,94,3,6,0,18,0,0,0.272,5.70%,15.70%,0.36,0.314,0.521,0.835,0.249,1.1,0.263,85,12,0.345,113,-0.3,-3.2,-1.9,68,96,80,125,17.80%,43.70%,33.00%,23.30%,21.20%,46.90%,31.90%,4892
2017,Rafael Devers,Red Sox,3B,58,222,240,63,39,14,0,10,34,30,18,3,57,0,0,0,5,3,1,0.284,7.50%,23.80%,0.32,0.338,0.482,0.819,0.198,3.5,0.342,34,4.8,0.344,110,0,0.4,-0.2,89,76,113,98,17.20%,34.60%,33.90%,31.50%,18.20%,47.30%,34.60%,17350
2016,Danny Valencia,Athletics,3B,130,471,517,135,95,22,1,17,72,51,41,1,115,3,2,0,11,1,1,0.287,7.90%,22.20%,0.36,0.346,0.446,0.792,0.159,2.7,0.346,71,10.1,0.342,117,-0.5,-0.7,-0.4,99,113,102,90,14.90%,39.90%,34.40%,25.70%,18.40%,50.00%,31.60%,6364
2018,Jurickson Profar,Rangers,3B,146,524,594,133,72,35,6,20,82,77,54,1,88,12,4,0,9,10,0,0.254,9.10%,14.80%,0.61,0.335,0.458,0.793,0.204,6.3,0.269,82,12.8,0.341,107,1.7,1.5,0.8,110,103,104,94,13.20%,39.80%,33.00%,27.30%,20.20%,42.50%,37.30%,10815
2017,Nicholas Castellanos,Tigers,3B,157,614,665,167,95,36,10,26,73,101,41,0,142,5,5,0,12,4,5,0.272,6.20%,21.40%,0.29,0.32,0.49,0.811,0.218,4.6,0.313,92,11.2,0.341,111,-1.7,0,-0.4,73,121,86,105,14.30%,38.60%,34.80%,26.60%,11.50%,45.10%,43.40%,11737
2016,Alex Bregman,Astros,3B,49,201,217,53,29,13,3,8,31,34,15,0,52,0,1,0,1,2,0,0.264,6.90%,24.00%,0.29,0.313,0.478,0.791,0.214,6.2,0.317,29,3.1,0.336,114,0.3,-0.7,1.1,86,138,66,121,12.50%,38.00%,37.30%,24.70%,18.00%,50.00%,32.00%,17678
