Season,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,Spd,wRC+,wSB,UBR,wGDP,FB%+,BB%+,LD+%,GB%+,Hard%,Med%,Soft%,Oppo%,Cent%,Pull%,HR/FB,playerid,SS
2019,Christian Colon,Reds,8,6,8,3,3,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0.5,0.00%,0.00%,0,0.625,0.5,1.125,0,0.5,2,1.3,0.506,1.6,215,0,-0.4,0.1,47,0,0,194,33.30%,50.00%,16.70%,16.70%,66.70%,16.70%,0.00%,11145,N
2019,Ketel Marte,Diamondbacks,144,569,628,187,110,36,9,32,97,92,53,2,86,4,2,0,7,10,2,0.329,8.40%,13.70%,0.62,0.389,0.592,0.981,0.264,0.342,125,46.1,0.405,5.9,150,0.8,2.9,0.5,98,95,102,100,41.90%,42.50%,15.70%,20.80%,35.50%,43.70%,19.00%,13613,N
2019,Asdrubal Cabrera,Nationals,38,124,146,40,23,10,1,6,24,40,19,1,18,0,3,0,3,0,0,0.323,13.00%,12.30%,1.06,0.404,0.565,0.969,0.242,0.33,28,9.9,0.398,2.9,145,-0.1,-2.6,-0.2,95,147,108,100,48.60%,45.00%,6.40%,21.10%,31.20%,47.70%,16.70%,4962,N
2019,Keston Hiura,Brewers,84,314,348,95,51,23,2,19,51,49,25,1,107,8,1,0,6,9,3,0.303,7.20%,30.70%,0.23,0.368,0.57,0.938,0.268,0.402,64,20.4,0.388,5.6,139,0.3,-1.1,0.7,107,81,111,89,44.20%,38.90%,16.80%,29.30%,40.40%,30.30%,24.10%,20003,N
2019,Max Muncy,Dodgers,141,487,589,122,64,22,1,35,101,98,90,1,149,8,4,0,5,4,1,0.251,15.30%,25.30%,0.6,0.374,0.515,0.889,0.265,0.283,101,26.8,0.372,3.8,134,0,2.4,2.4,109,172,108,88,45.60%,43.00%,11.40%,23.70%,32.20%,44.20%,26.50%,13301,N
2019,Wilmer Flores,Diamondbacks,89,265,285,84,57,18,0,9,31,37,15,0,31,4,1,0,9,0,0,0.317,5.30%,10.90%,0.48,0.361,0.487,0.848,0.17,0.332,45,9.5,0.358,1,120,-0.2,-0.8,-0.9,108,59,114,86,37.50%,46.40%,16.20%,21.70%,34.50%,43.80%,10.00%,5827,N
2019,Tommy Edman,Cardinals,92,326,349,99,64,17,7,11,59,36,16,0,61,7,0,0,3,15,1,0.304,4.60%,17.50%,0.26,0.35,0.5,0.85,0.196,0.346,55,11.1,0.357,8.5,123,2.4,3.4,0.8,98,52,114,95,41.10%,43.40%,15.50%,24.50%,33.60%,41.90%,12.10%,19470,N
2019,Ozzie Albies,Braves,160,640,702,189,114,43,8,24,102,86,54,6,112,4,4,0,2,15,4,0.295,7.70%,16.00%,0.48,0.352,0.5,0.852,0.205,0.325,109,20.6,0.354,6.2,117,0.9,1.6,2.3,103,87,117,89,42.30%,42.90%,14.90%,20.70%,33.80%,45.50%,12.40%,16556,Y
2019,Alex Blandino,Reds,23,36,50,9,7,1,0,1,6,3,10,0,14,2,2,0,1,0,0,0.25,20.00%,28.00%,0.71,0.42,0.361,0.781,0.111,0.348,8,1.4,0.352,1.3,114,0,0.3,0,94,226,96,107,37.50%,50.00%,12.50%,25.00%,50.00%,25.00%,12.50%,16271,N
2019,Mike Moustakas,Brewers,143,523,584,133,67,30,1,35,80,87,53,5,98,6,2,0,12,3,0,0.254,9.10%,16.80%,0.54,0.329,0.516,0.845,0.262,0.25,88,14.3,0.348,3.3,113,0.3,-2.7,0.2,128,102,87,84,41.50%,37.70%,20.80%,29.00%,30.20%,40.80%,18.20%,4892,N
2019,Donovan Solano,Giants,81,215,228,71,53,13,1,4,27,23,10,0,49,1,2,0,4,0,1,0.33,4.40%,21.50%,0.2,0.36,0.456,0.815,0.126,0.409,34,5.1,0.346,2.7,116,-0.6,-0.3,0,82,50,156,86,38.10%,48.20%,13.70%,26.80%,45.20%,28.00%,8.20%,8623,N
2019,Domingo Leyba,Diamondbacks,21,25,30,7,4,2,1,0,6,5,4,0,9,0,1,0,0,0,0,0.28,13.30%,30.00%,0.44,0.367,0.44,0.807,0.16,0.412,4,0.5,0.34,5.1,108,0,0.4,0.1,100,150,190,55,35.30%,41.20%,23.50%,29.40%,29.40%,41.20%,0.00%,16404,N
2019,David Bote,Cubs,127,303,356,78,50,17,0,11,47,41,44,4,93,7,2,0,11,5,1,0.257,12.40%,26.10%,0.47,0.362,0.422,0.785,0.165,0.333,50,4.8,0.336,3.6,106,0.4,3,-1,76,139,107,117,36.30%,49.10%,14.60%,25.00%,34.40%,40.60%,19.30%,14593,N
2019,Derek Dietrich,Reds,113,251,306,47,18,8,2,19,41,43,28,2,74,25,1,0,2,1,1,0.187,9.20%,24.20%,0.38,0.328,0.462,0.79,0.275,0.176,42,3.7,0.334,4.3,102,-0.4,0.9,0.9,136,103,79,81,38.80%,37.60%,23.60%,23.60%,28.10%,48.30%,22.40%,10542,N
2019,Kolten Wong,Cardinals,148,478,549,136,96,25,4,11,61,59,47,5,83,13,5,6,2,24,4,0.285,8.60%,15.10%,0.57,0.361,0.423,0.784,0.138,0.321,76,6.7,0.334,5.9,108,2.7,2.4,2,100,97,94,103,34.00%,45.30%,20.70%,25.60%,36.50%,37.90%,8.10%,12532,N
2019,Ryan McMahon,Rockies,141,480,539,120,73,22,1,24,70,83,56,1,160,1,1,1,14,5,1,0.25,10.40%,29.70%,0.35,0.329,0.45,0.779,0.2,0.323,72,4.5,0.33,3.7,88,0.3,0.4,-0.6,79,117,98,119,44.10%,41.30%,14.60%,28.00%,38.20%,33.90%,27.00%,15112,N
2019,Brian Dozier,Nationals,135,416,482,99,59,20,0,20,54,50,61,2,105,4,1,0,11,3,4,0.238,12.70%,21.80%,0.58,0.34,0.43,0.771,0.192,0.271,65,3.9,0.329,1.9,99,-1.4,0.9,-1.1,124,143,95,83,38.80%,43.00%,18.30%,19.90%,26.00%,54.20%,14.60%,9810,N
