,Name,Season,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
45,Manny Pina,2019,2829,37.05261038,15.39965843,46.50075258,0.262278394,0.718675082,10,7,25,0.228,0.724
46,Roberto Perez,2019,2900,15.29557533,2.318249787,24.14512892,0.196381073,0.715889556,46,24,63,0.239,0.774
47,Angel Pagan,2019,2918,71.2188846,13.38576832,56.62579203,0.27159228,0.729345566,#N/A,#N/A,#N/A,#N/A,#N/A
48,Tommy Pham,2019,2967,84.14335153,16.40662147,62.28703789,0.285059304,0.85485244,77,21,68,0.273,0.818
49,Mike Napoli,2019,3057,60.3736929,23.05567522,66.78952759,0.226547239,0.786732214,#N/A,#N/A,#N/A,#N/A,#N/A
50,Mitch Moreland,2019,3086,56.97784238,16.33584285,68.55804344,0.244807557,0.787421063,48,19,58,0.252,0.835
51,Gregor Blanco,2019,3123,22.776988,-0.721465576,15.59089987,0.233119677,0.673616201,#N/A,#N/A,#N/A,#N/A,#N/A
52,Robinson Chirinos,2019,3142,45.47706016,27.79847074,45.65733982,0.244429378,0.796921601,57,17,58,0.238,0.79
53,Shin-Soo Choo,2019,3174,83.59632853,14.70959421,61.32987574,0.262884862,0.856665576,93,24,61,0.265,0.826
54,Dioner Navarro,2019,3179,28.23503189,8.415419584,40.13997162,0.215990862,0.686019022,#N/A,#N/A,#N/A,#N/A,#N/A
55,Franklin Gutierrez,2019,3255,34.93009262,20.88725433,44.78005828,0.244028313,0.786528194,#N/A,#N/A,#N/A,#N/A,#N/A
56,Welington Castillo,2019,3256,49.33003936,17.69755639,52.44282497,0.263534282,0.76257822,19,12,41,0.209,0.684
57,Robinson Cano,2019,3269,63.90299745,14.28322538,52.13094217,0.293595684,0.785155823,46,13,39,0.256,0.736
58,Charlie Culberson,2019,3298,39.59695201,16.00244694,34.25156169,0.262984198,0.68562415,14,5,20,0.259,0.731
59,Martin Prado,2019,3312,37.80398928,1.063956823,25.51679649,0.26877514,0.690926309,26,2,15,0.233,0.559
60,Matt Joyce,2019,3353,41.86255956,15.0594647,47.98829165,0.220113304,0.776736073,32,7,23,0.295,0.858
61,Miguel Montero,2019,3364,37.8312156,10.25818788,38.6686428,0.234883895,0.715747282,#N/A,#N/A,#N/A,#N/A,#N/A
62,Alejandro De Aza,2019,3371,25.25010957,8.700351236,22.52875443,0.218439408,0.789369679,#N/A,#N/A,#N/A,#N/A,#N/A
63,Nick Hundley,2019,3376,29.09828814,17.09126952,29.33970758,0.250085667,0.739493795,#N/A,#N/A,#N/A,#N/A,#N/A
64,Cliff Pennington,2019,3395,22.49268697,1.750865573,37.03972392,0.262207854,0.669974195,#N/A,#N/A,#N/A,#N/A,#N/A
65,Ryan Braun,2019,3410,56.08769322,16.75637456,60.66210626,0.255201947,0.779030192,70,22,75,0.285,0.849
66,Nolan Reimold,2019,3441,19.67049769,7.945773912,22.25293299,0.219912077,0.666939333,#N/A,#N/A,#N/A,#N/A,#N/A
67,Jeff Mathis,2019,3448,14.11146989,7.254834857,17.42380521,0.227971042,0.720405482,17,2,12,0.158,0.433
68,Anthony Rizzo,2019,3473,85.57737215,25.60334196,95.47832069,0.276955433,0.829272595,89,27,94,0.293,0.924
69,Eric Hosmer,2019,3516,85.78136505,6.740169738,59.93421825,0.265189739,0.790976328,72,22,99,0.265,0.735
70,Troy Tulowitzki,2019,3531,48.14701451,15.68939811,48.85537064,0.25365305,0.730449109,#N/A,#N/A,#N/A,#N/A,#N/A
71,Rene Rivera,2019,3648,33.45770298,13.06932721,36.51296482,0.242642466,0.715475419,#N/A,#N/A,#N/A,#N/A,#N/A
72,Rajai Davis,2019,3708,32.49734342,-0.194031221,20.510796,0.238035353,0.651607169,#N/A,#N/A,#N/A,#N/A,#N/A
73,Eric Thames,2019,3711,42.6245157,25.56800775,39.42284623,0.227565756,0.806122311,67,25,61,0.247,0.851
74,J.J. Hardy,2019,3797,42.65119114,12.31454879,46.29847944,0.253828399,0.709739299,#N/A,#N/A,#N/A,#N/A,#N/A
75,Gregorio Petit,2019,3812,18.72161683,0.339405885,16.72454716,0.250284018,0.653553899,#N/A,#N/A,#N/A,#N/A,#N/A
76,Chris Young,2019,3882,40.75519613,21.68913066,36.2695986,0.26163253,0.738370652,#N/A,#N/A,#N/A,#N/A,#N/A
77,Josh Reddick,2019,3892,63.80343874,17.31061253,66.44845035,0.269460961,0.757793432,57,14,56,0.275,0.728
78,Melky Cabrera,2019,4022,51.69924906,10.78741915,61.9525696,0.277907734,0.750991285,43,7,47,0.28,0.713
79,Dexter Fowler,2019,4062,50.0437507,13.49122353,54.65347936,0.22124027,0.766762026,69,19,67,0.238,0.754
80,Erick Aybar,2019,4082,49.20702814,9.738407805,47.00914121,0.245478533,0.696695662,#N/A,#N/A,#N/A,#N/A,#N/A
81,Michael Brantley,2019,4106,78.10220178,16.53374314,72.33967441,0.300685651,0.788687982,88,22,90,0.311,0.875
82,Gorkys Hernandez,2019,4146,48.79966352,9.629379308,49.84036875,0.24786448,0.725976713,#N/A,#N/A,#N/A,#N/A,#N/A
83,Yunel Escobar,2019,4191,57.07958594,9.097127158,45.81188684,0.275205126,0.728493941,#N/A,#N/A,#N/A,#N/A,#N/A
84,Ryan Zimmerman,2019,4220,53.47105865,14.02545773,58.71145308,0.265867928,0.759190461,20,6,27,0.257,0.736
85,Howie Kendrick,2019,4229,58.35140117,6.719497008,48.03650968,0.270611395,0.735997242,61,17,62,0.344,0.966
86,Matt Wieters,2019,4298,37.51143244,11.95070007,40.18808761,0.243173483,0.730336527,15,11,27,0.214,0.702
87,Joey Votto,2019,4314,90.14761308,17.17890429,73.51420086,0.301543571,0.903255231,79,15,47,0.261,0.768
88,Daniel Murphy,2019,4316,57.69001531,16.83712056,56.17036265,0.301232136,0.734181036,56,13,78,0.279,0.78
89,Erik Kratz,2019,4403,17.32252249,10.630146,24.82970786,0.253580393,0.71596985,#N/A,#N/A,#N/A,#N/A,#N/A
90,Jed Lowrie,2019,4418,81.35510761,18.58110026,66.56972114,0.278715826,0.847726181,#N/A,#N/A,#N/A,#N/A,#N/A
91,Brandon Moss,2019,4467,50.70708039,22.98916097,60.0937796,0.223968012,0.773080949,#N/A,#N/A,#N/A,#N/A,#N/A
92,James Loney,2019,4556,40.63354628,8.882413864,30.79310438,0.269233408,0.689833844,#N/A,#N/A,#N/A,#N/A,#N/A
93,Starlin Castro,2019,4579,75.56691018,14.64490163,72.03530898,0.282792251,0.763751418,68,22,86,0.27,0.736
94,Prince Fielder,2019,4613,36.78784329,8.984433072,55.09528804,0.218977502,0.708201778,#N/A,#N/A,#N/A,#N/A,#N/A
95,Russell Martin,2019,4616,43.51638971,8.182976488,29.94333782,0.206342807,0.750803821,29,6,20,0.22,0.667
96,Ben Revere,2019,4712,46.44985541,5.338519341,38.90979748,0.251700863,0.678607449,#N/A,#N/A,#N/A,#N/A,#N/A
97,Chase Headley,2019,4720,66.65983507,13.29127198,66.09711973,0.258200737,0.770048043,#N/A,#N/A,#N/A,#N/A,#N/A
98,Jacoby Ellsbury,2019,4727,64.56063619,12.72309408,47.25930888,0.262002826,0.745525026,#N/A,#N/A,#N/A,#N/A,#N/A
99,Curtis Granderson,2019,4747,57.23868471,25.94070681,52.32047063,0.232157934,0.819374115,44,12,34,0.183,0.637
100,Jeff Francoeur,2019,4792,35.94856388,10.04477927,39.52683024,0.25797286,0.676376022,#N/A,#N/A,#N/A,#N/A,#N/A
101,Brian McCann,2019,4810,30.58385408,15.98353064,39.85662094,0.22281314,0.699635428,28,12,45,0.249,0.734
102,Jarrod Dyson,2019,4866,35.96653569,2.043236285,21.9086559,0.223856613,0.648830524,65,7,27,0.23,0.633
103,Carlos Gomez,2019,4881,48.32839296,13.12530803,40.62970916,0.235223291,0.733936317,#N/A,#N/A,#N/A,#N/A,#N/A
104,Mike Moustakas,2019,4892,72.30571935,24.96585454,90.92089039,0.257360367,0.810406093,80,35,87,0.254,0.845
105,Ender Inciarte,2019,4922,91.62792993,9.299642192,67.39390586,0.279028617,0.766379967,30,5,24,0.246,0.74
106,Jason Heyward,2019,4940,64.75377275,14.20491417,45.15791589,0.270847988,0.724587269,78,21,62,0.251,0.772
107,Giancarlo Stanton,2019,4949,88.13004432,26.12918042,106.3153794,0.256704436,0.850893935,#N/A,#N/A,#N/A,#N/A,#N/A
108,Asdrubal Cabrera,2019,4962,69.65997058,24.93899029,63.57463962,0.274001718,0.791363494,69,18,91,0.26,0.783
109,Luis Valbuena,2019,4969,29.00668888,16.89416703,45.33499136,0.204926779,0.741410693,#N/A,#N/A,#N/A,#N/A,#N/A
110,Stephen Vogt,2019,5000,48.56711624,14.67130381,50.84544954,0.24970521,0.733822262,30,10,40,0.263,0.804
111,Melvin Upton Jr.,2019,5015,67.49585172,8.590964273,78.70564939,0.228335409,0.73373482,#N/A,#N/A,#N/A,#N/A,#N/A
112,Josh Donaldson,2019,5038,48.32763638,21.41710901,42.9414483,0.256405817,0.793791969,96,37,94,0.259,0.9
113,Jefry Marte,2019,5107,20.4807268,20.20263027,26.10458951,0.22096192,0.65833706,#N/A,#N/A,#N/A,#N/A,#N/A
114,Alexei Ramirez,2019,5133,52.76105434,9.615213162,44.29294739,0.24522881,0.675853431,#N/A,#N/A,#N/A,#N/A,#N/A
115,Alex Gordon,2019,5209,66.32798179,11.34709,53.25930715,0.234537706,0.796791252,77,13,76,0.266,0.741
116,Justin Upton,2019,5222,82.39099863,24.45291748,78.46338522,0.259954349,0.853300736,34,12,40,0.215,0.724
117,Cameron Maybin,2019,5223,50.84200744,5.261233133,33.61811825,0.255615763,0.729408635,48,11,32,0.285,0.858
118,Jon Jay,2019,5227,68.17555195,0.422179192,43.64420296,0.280167806,0.743513317,12,0,9,0.267,0.626
119,Justin Turner,2019,5235,71.29985409,22.89312684,63.52531904,0.318636125,0.830697319,80,27,67,0.29,0.881
120,Brett Lawrie,2019,5247,47.18933182,15.73405796,36.1566926,0.251951683,0.711808748,#N/A,#N/A,#N/A,#N/A,#N/A
121,Robbie Grossman,2019,5254,56.40091587,10.35013441,50.24097898,0.277354676,0.78785174,57,6,38,0.24,0.682
122,Sandy Leon,2019,5273,21.88563647,9.117158804,29.23971435,0.209900389,0.673004751,14,5,19,0.192,0.548
123,Francisco Cervelli,2019,5275,49.81657764,12.68894171,44.45878591,0.266535149,0.746943394,15,3,12,0.213,0.649
124,Aaron Hicks,2019,5297,70.94645855,21.60562915,73.76938547,0.244421201,0.81263529,41,12,36,0.235,0.769
125,Alex Presley,2019,5305,32.46243974,4.509370603,11.31912921,0.30239181,0.661325731,#N/A,#N/A,#N/A,#N/A,#N/A
126,Brandon Crawford,2019,5343,72.20475227,10.03839186,82.84026465,0.258951617,0.789510492,58,11,59,0.228,0.654
127,Yangervis Solarte,2019,5352,53.26067405,15.48512871,58.74580329,0.242462407,0.726847912,#N/A,#N/A,#N/A,#N/A,#N/A
128,Freddie Freeman,2019,5361,92.37231672,25.03773261,82.34109291,0.301894816,0.873765577,113,38,121,0.295,0.938
129,Juan Lagares,2019,5384,31.25840109,10.215525,21.8729238,0.255672177,0.659009555,38,5,27,0.213,0.605
130,Jake Smolinski,2019,5408,30.92260612,10.00200447,30.8149163,0.243121388,0.68844398,#N/A,#N/A,#N/A,#N/A,#N/A
131,Pablo Sandoval,2019,5409,24.95024007,5.890402731,30.34053062,0.239587089,0.708643045,42,14,41,0.268,0.82
132,Jose Altuve,2019,5417,95.14152424,19.74752853,59.95053789,0.319071537,0.791629098,89,31,74,0.298,0.903
133,Daniel Nava,2019,5450,31.91113131,14.07281775,21.30168454,0.300346194,0.734202155,#N/A,#N/A,#N/A,#N/A,#N/A
