Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Mitch Haniger,Mariners,RF,157,596,683,170,102,38,4,26,90,93,70,4,148,10,7,0,8,8,2,0.285,10.20%,21.70%,0.47,0.366,0.493,0.859,0.208,4.5,0.336,109,28.9,0.367,137,0.4,-1,0.7,123,100,100,100,15.80%,44.80%,36.70%,18.50%,16.00%,46.80%,37.10%,14274
2018,Jesse Winker,Reds,RF,89,281,334,84,61,16,0,7,38,43,49,4,46,2,1,1,6,0,0,0.299,14.70%,13.80%,1.07,0.405,0.431,0.836,0.132,1.1,0.336,53,13.9,0.366,128,-0.3,-2,0.1,163,110,97,97,8.90%,37.10%,37.10%,25.70%,11.80%,44.30%,43.90%,13590
2018,Nicholas Castellanos,Tigers,RF,157,620,678,185,111,46,5,23,88,89,49,5,151,6,3,0,8,2,1,0.298,7.20%,22.30%,0.32,0.354,0.5,0.854,0.202,3.8,0.361,106,26.7,0.363,130,-0.4,1.6,2,87,136,84,98,13.60%,44.90%,30.30%,24.80%,12.10%,40.00%,47.90%,11737
2016,Carlos Gonzalez,Rockies,RF,150,584,632,174,105,42,2,25,87,100,46,6,129,1,1,0,10,2,2,0.298,7.30%,20.40%,0.36,0.35,0.505,0.855,0.207,3,0.346,97,22.6,0.361,110,-0.7,-2.4,1.5,84,101,103,95,16.90%,37.10%,37.50%,25.40%,20.20%,42.80%,37.10%,7287
2018,Franmil Reyes,Padres,RF,87,261,285,73,48,9,0,16,36,31,24,0,80,0,0,0,5,0,0,0.28,8.40%,28.10%,0.3,0.34,0.498,0.838,0.218,1.1,0.345,44,10.4,0.36,129,-0.2,0.2,-0.3,94,96,114,86,29.60%,33.70%,43.10%,23.20%,14.90%,40.90%,44.20%,14566
2017,Mitch Haniger,Mariners,RF,96,369,410,104,61,25,2,16,58,47,31,0,93,9,0,1,9,5,4,0.282,7.60%,22.70%,0.33,0.352,0.491,0.843,0.209,4.3,0.338,63,13.4,0.36,129,-0.9,-2,0.4,90,95,102,101,15.80%,45.10%,33.60%,21.30%,17.70%,47.70%,34.70%,14274
2017,Aaron Altherr,Phillies,RF,107,372,412,101,53,24,5,19,58,65,32,2,104,7,1,0,12,5,4,0.272,7.80%,25.20%,0.31,0.34,0.516,0.856,0.245,5.5,0.328,64,13.3,0.359,120,-0.9,-0.1,-0.9,86,94,97,107,18.80%,37.60%,32.30%,30.10%,20.10%,43.50%,36.40%,11270
2016,Carlos Beltran,Yankees,RF,151,552,593,163,101,33,0,29,73,93,35,4,101,2,4,0,19,1,0,0.295,5.90%,17.00%,0.35,0.337,0.513,0.85,0.217,1.8,0.315,89,19.6,0.358,122,-0.1,-2,-1,74,102,96,104,17.30%,47.70%,29.90%,22.40%,15.00%,49.20%,35.80%,589
2016,Mark Trumbo,Orioles,RF,159,613,667,157,82,27,1,47,94,108,51,1,170,3,0,0,14,2,0,0.256,7.60%,25.50%,0.3,0.316,0.533,0.85,0.277,2.9,0.278,101,22,0.358,125,0.1,-1.1,-0.4,95,85,90,121,24.60%,42.00%,34.10%,23.90%,19.20%,41.50%,39.30%,6876
2018,Adam Eaton,Nationals,RF,95,319,370,96,72,18,1,5,55,33,38,0,64,11,0,2,2,9,1,0.301,10.30%,17.30%,0.59,0.394,0.411,0.805,0.11,5.4,0.364,56,13,0.358,122,1.1,-0.5,0.6,114,120,110,75,7.70%,31.90%,31.90%,36.20%,18.70%,48.60%,32.70%,11205
2018,David Dahl,Rockies,RF,77,249,271,68,38,11,3,16,31,48,19,4,68,1,2,0,4,5,3,0.273,7.00%,25.10%,0.28,0.325,0.534,0.859,0.261,4.9,0.311,41,9.4,0.357,110,-0.4,-0.1,0.6,78,105,91,108,23.20%,45.40%,33.30%,21.30%,15.90%,46.50%,37.70%,13744
2017,Josh Reddick,Astros,RF,134,477,540,150,99,34,4,13,77,82,43,1,72,0,12,1,9,7,3,0.314,8.00%,13.30%,0.6,0.363,0.484,0.847,0.17,4.8,0.339,82,16.6,0.357,127,-0.2,2.7,0.8,95,119,78,116,7.40%,35.90%,36.10%,28.00%,17.20%,51.70%,31.10%,3892
2018,Jose Martinez,Cardinals,RF,152,534,590,163,116,30,0,17,64,83,49,0,104,2,3,2,15,0,3,0.305,8.30%,17.60%,0.47,0.364,0.457,0.821,0.152,1.4,0.351,89,19.8,0.356,127,-1.6,0.1,-0.1,93,119,107,79,14.20%,32.40%,32.90%,34.70%,14.00%,45.50%,40.50%,7996
2018,Ben Zobrist,Cubs,RF,139,455,520,139,99,28,3,9,67,58,55,1,60,2,7,1,8,3,4,0.305,10.60%,11.50%,0.92,0.378,0.44,0.817,0.134,3.2,0.331,78,16.9,0.355,123,-1.4,1.9,0,118,99,111,87,7.40%,47.20%,31.50%,21.30%,11.90%,52.60%,35.50%,7435
2016,Jose Bautista,Blue Jays,RF,116,423,517,99,52,24,1,22,68,69,87,1,103,3,4,0,21,2,2,0.234,16.80%,19.90%,0.84,0.366,0.452,0.817,0.217,2.5,0.255,76,15.5,0.355,123,-0.7,-1.5,-3.1,210,92,90,117,16.30%,52.80%,31.50%,15.70%,21.30%,37.70%,41.10%,1887
2018,Jorge Soler,Royals,RF,61,223,257,59,32,18,0,9,27,28,28,0,69,4,2,0,6,3,1,0.265,10.90%,26.80%,0.41,0.354,0.466,0.82,0.202,2.8,0.34,38,8.3,0.354,123,0,-2.3,-0.3,131,91,111,93,17.00%,53.20%,26.90%,19.90%,17.30%,39.70%,43.00%,14221
2018,Gregory Polanco,Pirates,RF,130,461,535,117,56,32,6,23,75,81,61,5,117,3,7,0,11,12,2,0.254,11.40%,21.90%,0.52,0.34,0.499,0.839,0.245,6.3,0.287,79,16.8,0.353,123,1.3,-2.5,0.2,127,85,77,138,13.80%,45.70%,34.60%,19.70%,20.00%,46.00%,34.00%,12907
2016,George Springer,Astros,RF,162,644,744,168,105,29,5,29,116,82,88,2,178,11,1,0,12,9,10,0.261,11.80%,23.90%,0.49,0.359,0.457,0.815,0.196,4.7,0.317,109,21.4,0.353,126,-2.8,2.3,0.2,147,100,109,89,19.70%,39.00%,38.30%,22.70%,19.50%,46.90%,33.60%,12856
2018,Stephen Piscotty,Athletics,RF,151,546,605,146,78,41,0,27,78,88,42,0,114,12,5,0,21,2,0,0.267,6.90%,18.80%,0.37,0.331,0.491,0.821,0.223,2.6,0.29,88,17.8,0.351,126,0.1,0.8,-2.1,84,105,106,90,18.80%,39.40%,36.80%,23.80%,12.80%,44.60%,42.60%,13367
2017,Jay Bruce,Mets,RF,146,555,617,141,74,29,2,36,82,101,57,0,139,2,3,0,11,1,1,0.254,9.20%,22.50%,0.41,0.324,0.508,0.832,0.254,2.6,0.274,90,15.1,0.35,118,-0.6,-2.3,0.8,105,102,74,131,18.50%,44.40%,34.40%,21.20%,11.70%,48.00%,40.30%,9892
2018,Yasiel Puig,Dodgers,RF,125,405,444,108,63,21,1,23,60,63,36,2,87,1,2,0,15,15,5,0.267,8.10%,19.60%,0.41,0.327,0.494,0.82,0.227,4.8,0.286,64,12.3,0.349,123,0.7,1.6,-2.2,90,98,99,103,20.00%,41.90%,35.00%,23.10%,24.10%,37.50%,38.40%,14225
2017,Yasiel Puig,Dodgers,RF,152,499,570,131,77,24,2,28,72,74,64,8,100,2,5,0,21,15,6,0.263,11.20%,17.50%,0.64,0.346,0.487,0.833,0.224,4.4,0.274,83,13.3,0.349,117,0.1,-5.3,-2.4,125,78,109,101,19.40%,46.50%,30.50%,23.00%,18.30%,48.80%,32.90%,14225
2016,Hunter Pence,Giants,RF,106,395,442,114,77,23,1,13,58,57,43,1,95,1,3,0,10,1,1,0.289,9.70%,21.50%,0.45,0.357,0.451,0.808,0.162,2.5,0.348,63,11.1,0.349,119,-0.5,-2.2,-0.1,113,79,123,83,15.10%,34.00%,36.00%,30.00%,20.10%,49.80%,30.00%,8252
2017,Steven Souza Jr.,Rays,RF,148,523,617,125,72,21,2,30,78,78,84,2,179,7,1,2,9,16,4,0.239,13.60%,29.00%,0.47,0.351,0.459,0.81,0.22,4.8,0.302,89,14.2,0.348,121,1.1,1.3,1.2,162,104,103,94,25.60%,46.80%,32.40%,20.80%,16.50%,49.40%,34.10%,5667
2018,Matt Kemp,Dodgers,RF,146,462,506,134,88,25,0,21,62,85,36,2,115,1,7,0,14,0,0,0.29,7.10%,22.70%,0.31,0.338,0.481,0.818,0.19,1.2,0.339,73,13.7,0.348,122,-0.3,-2.7,-1.2,79,123,81,109,15.60%,42.10%,35.90%,22.00%,13.80%,42.70%,43.50%,5631
2018,Andrew McCutchen,Giants,RF,155,569,682,145,92,30,3,20,83,65,95,1,145,11,7,0,12,14,9,0.255,13.90%,21.30%,0.66,0.368,0.424,0.792,0.169,4.2,0.304,98,18.1,0.347,121,-1.3,-4.2,0.5,158,105,96,102,13.00%,43.90%,36.40%,19.70%,13.50%,43.20%,43.40%,9847
2016,Stephen Piscotty,Cardinals,RF,153,582,649,159,99,35,3,22,86,85,51,0,133,12,2,1,14,7,5,0.273,7.90%,20.50%,0.38,0.343,0.457,0.8,0.184,4.1,0.319,91,14.5,0.345,116,-1,-2,-0.6,91,95,97,106,13.50%,42.30%,31.90%,25.90%,15.90%,52.00%,32.10%,13367
2016,Yasmany Tomas,Diamondbacks,RF,140,530,563,144,82,30,1,31,72,83,31,4,136,1,1,0,18,2,4,0.272,5.50%,24.20%,0.23,0.313,0.508,0.82,0.236,2.5,0.31,79,12.4,0.345,109,-1.5,-1.9,-2.2,64,99,107,92,25.00%,41.00%,29.40%,29.60%,14.90%,44.10%,41.00%,17171
2018,Nick Markakis,Braves,RF,162,623,705,185,126,43,2,14,78,93,72,10,80,1,9,0,18,1,1,0.297,10.20%,11.30%,0.9,0.366,0.44,0.806,0.143,2.1,0.318,100,17.2,0.345,115,-0.7,-1.4,-1.3,114,122,100,86,8.40%,31.70%,39.10%,29.20%,13.80%,45.70%,40.60%,5930
2017,Nick Williams,Phillies,RF,83,313,343,90,60,14,4,12,45,55,20,0,97,6,4,0,8,1,2,0.288,5.80%,28.30%,0.21,0.338,0.473,0.811,0.185,4.4,0.375,49,6.7,0.344,110,-0.9,-1.5,0.2,65,113,112,77,20.00%,31.80%,42.70%,25.50%,15.50%,50.90%,33.60%,14330
2016,Giancarlo Stanton,Marlins,RF,119,413,470,99,51,20,1,27,56,74,50,5,140,4,2,0,6,0,0,0.24,10.60%,29.80%,0.36,0.326,0.489,0.815,0.249,1.8,0.29,65,10,0.344,118,-0.2,-0.9,1,123,79,90,127,22.70%,40.40%,37.10%,22.60%,17.10%,40.00%,42.90%,4949
2016,Adam Eaton,White Sox,RF,157,619,706,176,124,29,9,14,91,59,63,2,115,14,3,7,6,14,5,0.284,8.90%,16.30%,0.55,0.362,0.428,0.79,0.144,5.9,0.329,98,14.9,0.344,117,0.3,2.2,2,111,100,122,73,11.00%,30.70%,31.90%,37.40%,17.50%,51.00%,31.50%,11205
2016,Domingo Santana,Brewers,RF,77,246,281,63,38,14,0,11,34,32,32,0,91,2,1,0,7,2,3,0.256,11.40%,32.40%,0.35,0.345,0.447,0.792,0.191,2.1,0.359,39,5.8,0.343,111,-1,0,-0.3,132,142,99,75,27.50%,39.10%,35.90%,25.00%,14.10%,47.40%,38.50%,10348
2016,Bryce Harper,Nationals,RF,147,506,627,123,73,24,2,24,84,86,108,20,117,3,10,0,11,21,10,0.243,17.20%,18.70%,0.92,0.373,0.441,0.814,0.198,4.6,0.264,87,13,0.343,111,-0.3,1.1,1.4,199,81,90,124,14.30%,39.40%,34.30%,26.30%,19.80%,46.10%,34.10%,11579
2017,Matt Joyce,Athletics,RF,141,469,544,114,56,33,0,25,78,68,66,0,113,2,7,0,10,4,1,0.243,12.10%,20.80%,0.58,0.335,0.473,0.808,0.23,3.2,0.263,76,10,0.343,117,0.1,1.1,0.5,144,95,87,118,16.10%,41.60%,37.50%,20.90%,16.30%,53.40%,30.30%,3353
2017,David Peralta,Diamondbacks,RF,140,525,577,154,106,31,3,14,82,57,43,1,94,6,3,0,7,8,4,0.293,7.50%,16.30%,0.46,0.352,0.444,0.796,0.15,4.6,0.333,81,10.2,0.342,104,-0.5,0.8,0.9,83,90,124,75,12.20%,31.30%,38.70%,30.00%,21.20%,47.00%,31.80%,2136
2016,Danny Valencia,Athletics,RF,130,471,517,135,95,22,1,17,72,51,41,1,115,3,2,0,11,1,1,0.287,7.90%,22.20%,0.36,0.346,0.446,0.792,0.159,2.7,0.346,71,10.1,0.342,117,-0.5,-0.7,-0.4,99,113,102,90,14.90%,39.90%,34.40%,25.70%,18.40%,50.00%,31.60%,6364
2018,Curtis Granderson,Blue Jays,RF,123,343,403,83,46,22,2,13,60,38,54,1,106,4,1,1,3,2,1,0.242,13.40%,26.30%,0.51,0.351,0.431,0.782,0.19,4.2,0.311,56,8.8,0.341,116,-0.3,-3.3,1,159,145,75,102,14.80%,52.70%,28.90%,18.40%,15.50%,47.30%,37.20%,4747
2016,Kole Calhoun,Angels,RF,157,594,672,161,103,35,5,18,91,75,67,0,118,6,5,0,10,2,3,0.271,10.00%,17.60%,0.57,0.348,0.438,0.786,0.167,3.7,0.309,91,12.3,0.34,117,-1.2,0.9,1.8,124,108,86,112,9.40%,41.80%,32.60%,25.60%,16.60%,48.00%,35.30%,11200
2018,Randal Grichuk,Blue Jays,RF,124,424,462,104,46,32,1,25,60,61,27,0,122,8,3,0,5,3,2,0.245,5.80%,26.40%,0.22,0.301,0.502,0.803,0.257,3.4,0.282,64,9.6,0.34,115,-0.4,-1.2,1.2,70,86,83,128,17.60%,49.80%,26.90%,23.30%,21.60%,42.00%,36.40%,10243
2016,Jay Bruce,Reds,RF,147,539,589,135,69,27,6,33,74,99,44,7,126,3,3,0,14,4,2,0.25,7.50%,21.40%,0.35,0.309,0.506,0.815,0.256,4.4,0.266,80,10.4,0.34,111,-0.3,-3.1,0.3,86,103,83,120,19.40%,44.50%,35.80%,19.70%,14.70%,47.10%,38.20%,9892
2018,George Springer,Astros,RF,140,544,620,144,96,26,0,22,102,71,64,0,122,5,3,0,12,6,4,0.265,10.30%,19.70%,0.52,0.346,0.434,0.78,0.169,3.6,0.303,85,12.7,0.34,118,-0.8,1.2,-1.3,124,75,117,95,15.00%,39.80%,36.90%,23.30%,17.70%,48.90%,33.40%,12856
2018,Mallex Smith,Rays,RF,141,480,544,142,103,27,10,2,65,40,47,0,98,8,2,7,11,40,12,0.296,8.60%,18.00%,0.48,0.367,0.406,0.773,0.11,7.7,0.366,75,11,0.339,118,2.7,4.1,-0.2,104,117,117,70,2.10%,28.90%,37.90%,33.30%,19.20%,53.70%,27.10%,13608
2016,Curtis Granderson,Mets,RF,150,545,633,129,70,24,5,30,88,59,74,7,130,9,5,0,10,4,2,0.237,11.70%,20.50%,0.57,0.335,0.464,0.799,0.228,4.4,0.254,86,11,0.339,116,-0.3,2.2,0,135,102,81,123,17.00%,43.60%,36.70%,19.80%,15.70%,47.40%,36.90%,4747
2017,Shin-Soo Choo,Rangers,RF,149,544,636,142,99,20,1,22,96,78,77,1,134,7,5,3,18,12,3,0.261,12.10%,21.10%,0.57,0.357,0.423,0.78,0.162,4.7,0.305,87,9.7,0.339,102,0.7,-0.9,-1.5,144,123,113,72,20.40%,42.80%,33.70%,23.40%,12.20%,51.70%,36.10%,3174
2017,Mookie Betts,Red Sox,RF,153,628,712,166,94,46,2,24,101,102,77,9,79,2,5,0,9,26,3,0.264,10.80%,11.10%,0.97,0.344,0.459,0.803,0.194,5.5,0.268,98,10.8,0.339,107,3.5,4.1,1.6,128,83,93,117,10.10%,44.40%,35.60%,20.00%,18.20%,46.00%,35.70%,13611
2018,Hunter Renfroe,Padres,RF,117,403,441,100,50,23,1,26,53,68,30,2,109,3,5,0,9,2,1,0.248,6.80%,24.70%,0.28,0.302,0.504,0.805,0.256,2.8,0.271,60,8.5,0.338,114,-0.2,-0.4,-0.5,76,90,87,123,20.30%,48.80%,33.10%,18.10%,18.10%,34.80%,47.20%,15464
2018,Carlos Gonzalez,Rockies,RF,132,463,504,128,76,32,4,16,71,64,37,4,113,1,3,0,5,5,2,0.276,7.30%,22.40%,0.33,0.329,0.467,0.796,0.19,5,0.332,69,9.6,0.338,97,-0.1,2,1.7,82,74,111,103,12.70%,34.00%,39.40%,26.60%,21.30%,43.60%,35.10%,7287
2018,Scott Schebler,Reds,RF,107,380,430,97,61,19,0,17,55,49,39,1,99,9,2,0,5,4,2,0.255,9.10%,23.00%,0.39,0.337,0.439,0.777,0.184,3,0.301,58,7.8,0.337,108,-0.3,0.1,0.5,101,99,113,85,20.20%,44.90%,34.60%,20.50%,15.90%,45.90%,38.20%,12225
2016,Franklin Gutierrez,Mariners,RF,98,248,283,61,38,9,0,14,33,39,29,0,85,3,3,0,6,1,0,0.246,10.20%,30.00%,0.34,0.329,0.452,0.78,0.206,2.2,0.309,37,4.1,0.336,115,0,0.9,0,128,88,114,90,26.40%,46.40%,37.40%,16.30%,15.10%,38.00%,47.00%,3255
2016,Shin-Soo Choo,Rangers,RF,48,178,210,43,29,7,0,7,27,17,25,1,46,7,0,0,1,6,3,0.242,11.90%,21.90%,0.54,0.357,0.399,0.756,0.157,4,0.288,28,2.8,0.334,102,-0.2,0.3,0.7,148,109,107,87,17.50%,40.90%,34.10%,25.00%,9.90%,47.00%,43.20%,3174
2016,Miguel Sano,Twins,RF,116,437,495,103,55,22,1,25,57,66,54,1,178,1,3,0,8,1,0,0.236,10.90%,36.00%,0.3,0.319,0.462,0.781,0.227,2.5,0.329,65,6.4,0.334,107,0,-2.3,0.9,136,99,77,129,20.80%,36.30%,39.30%,24.40%,14.10%,45.80%,40.10%,12164
2017,Alex Presley,Tigers,RF,71,245,264,77,61,10,3,3,30,20,15,0,49,0,0,3,5,5,0,0.314,5.70%,18.60%,0.31,0.354,0.416,0.77,0.102,5.8,0.383,35,2.9,0.334,107,0.8,-2.2,0.1,67,153,105,64,6.50%,35.70%,37.70%,26.60%,18.60%,57.30%,24.10%,5305
2016,Matt Kemp,Padres,RF,156,623,672,167,93,39,0,35,89,108,36,6,156,1,12,0,17,1,0,0.268,5.40%,23.20%,0.23,0.304,0.499,0.803,0.231,2.2,0.297,88,8.5,0.333,108,-0.1,-0.2,-0.4,62,96,89,116,18.40%,44.50%,33.00%,22.60%,15.20%,48.90%,35.90%,5631
2018,Brian Anderson,Marlins,RF,156,590,670,161,112,34,4,11,87,65,62,2,129,16,2,0,18,2,4,0.273,9.30%,19.30%,0.48,0.357,0.4,0.757,0.127,3.5,0.332,88,10,0.333,112,-1.7,2.9,-1.8,103,90,120,82,8.30%,38.40%,35.40%,26.10%,16.20%,45.60%,38.20%,18289
