"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2014","Roger Kieschnick","Diamondbacks","25","41","41","8","6","1","0","1","2","2","0","0","16","0","0","0","0","0","0",".195","0.0 %","39.0 %","0.00",".195",".293",".488",".098",".292","1","-3.0",".214","0.4","25","0.0","0.4","0.3","94","0","38","134","36.0 %","48.0 %","16.0 %","16.0 %","44.0 %","40.0 %","12.5 %","5225"
"2018","Socrates Brito","Diamondbacks","24","40","44","7","6","0","0","1","3","3","3","0","9","0","1","0","0","0","1",".175","6.8 %","20.5 %","0.33",".227",".250",".477",".075",".194","1","-3.6",".213","2.0","27","-0.4","-0.4","0.3","102","76","133","82","50.0 %","40.6 %","9.4 %","31.3 %","37.5 %","31.3 %","9.1 %","12944"
"2019","Kevin Kramer","Pirates","22","42","50","7","6","1","0","0","5","5","6","0","17","0","2","0","0","0","1",".167","12.0 %","34.0 %","0.35",".260",".190",".450",".024",".259","2","-4.7",".212","2.8","26","-0.5","0.2","0.1","125","135","119","69","44.4 %","40.7 %","14.8 %","25.9 %","48.2 %","25.9 %","0.0 %","17689"
"2017","Andrew Stevenson","Nationals","37","57","66","9","7","2","0","0","5","1","7","0","20","0","0","2","0","1","0",".158","10.6 %","30.3 %","0.35",".250",".193",".443",".035",".243","2","-6.2",".210","4.0","20","0.2","0.5","0.4","38","118","118","140","20.5 %","56.4 %","23.1 %","30.8 %","30.8 %","38.5 %","0.0 %","17932"
"2017","Trayce Thompson","Dodgers","27","49","55","6","2","2","1","1","6","2","6","1","23","0","0","0","0","0","0",".122","10.9 %","41.8 %","0.26",".218",".265",".483",".143",".200","1","-5.3",".208","4.9","25","0.0","0.2","0.3","98","121","94","104","42.3 %","34.6 %","23.1 %","11.5 %","38.5 %","50.0 %","11.1 %","9952"
"2019","Travis Jankowski","Padres","25","22","24","4","4","0","0","0","4","0","2","0","4","0","0","0","0","2","2",".182","8.3 %","16.7 %","0.50",".250",".182",".432",".000",".222","1","-2.4",".202","5.5","21","-0.5","0.1","0.2","133","94","27","110","11.1 %","44.4 %","44.4 %","22.2 %","61.1 %","16.7 %","0.0 %","13768"
"2014","Shane Robinson","Cardinals","47","60","66","9","7","1","1","0","3","4","6","0","10","0","0","0","3","0","1",".150","9.1 %","15.2 %","0.60",".227",".200",".427",".050",".180","2","-5.5",".201","3.9","23","-0.4","0.2","-0.3","94","116","76","116","24.0 %","58.0 %","18.0 %","24.0 %","42.0 %","34.0 %","0.0 %","4249"
"2017","Stephen Cardullo","Rockies","15","28","32","4","4","0","0","0","2","3","3","0","7","1","0","0","0","0","0",".143","9.4 %","21.9 %","0.43",".250",".143",".393",".000",".190","1","-3.3",".197","1.3","0","0.0","0.0","0.2","108","104","116","86","23.8 %","52.4 %","23.8 %","42.9 %","33.3 %","23.8 %","0.0 %","11204"
"2019","Blake Swihart","Diamondbacks","31","66","70","9","6","0","0","3","9","9","4","0","29","0","0","0","2","0","0",".136","5.7 %","41.4 %","0.14",".186",".273",".458",".136",".176","1","-7.4",".197","2.6","15","0.0","0.3","-0.1","107","64","87","101","27.0 %","46.0 %","27.0 %","27.0 %","27.0 %","46.0 %","21.4 %","13176"
"2015","Daniel Dorn","Diamondbacks","23","30","32","5","4","1","0","0","0","3","2","0","10","0","0","0","1","0","0",".167","6.3 %","31.3 %","0.20",".219",".200",".419",".033",".250","1","-3.1",".192","0.1","9","0.0","-0.3","-0.1","76","79","117","110","20.0 %","50.0 %","30.0 %","5.0 %","50.0 %","45.0 %","0.0 %","1050"
"2018","Magneuris Sierra","Marlins","54","147","156","28","25","3","0","0","10","7","6","1","39","0","0","3","0","3","2",".190","3.8 %","25.0 %","0.15",".222",".211",".433",".020",".259","3","-15.6",".192","3.4","18","-0.3","0.5","1.0","55","43","107","133","19.8 %","55.0 %","25.2 %","29.7 %","31.5 %","38.7 %","0.0 %","17023"
"2015","Ryan Lollis","Giants","5","12","13","2","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0",".167","7.7 %","7.7 %","1.00",".231",".167",".397",".000",".182","0","-1.3",".188","4.6","15","0.2","-0.1","0.1","30","97","94","154","9.1 %","63.6 %","27.3 %","36.4 %","27.3 %","36.4 %","0.0 %","6623"
"2014","Kyle Parker","Rockies","18","26","26","5","4","1","0","0","1","1","0","0","14","0","0","0","0","0","0",".192","0.0 %","53.8 %","0.00",".192",".231",".423",".038",".417","0","-2.5",".186","0.8","-5","0.0","-0.1","0.2","98","0","79","112","33.3 %","33.3 %","33.3 %","25.0 %","41.7 %","33.3 %","0.0 %","11763"
"2018","Braxton Lee","Marlins","8","17","18","3","3","0","0","0","0","2","1","0","8","0","0","0","0","0","0",".176","5.6 %","44.4 %","0.13",".222",".176",".399",".000",".333","0","-1.9",".185","0.1","14","0.0","-0.5","0.0","72","62","114","116","0.0 %","77.8 %","22.2 %","55.6 %","44.4 %","0.0 %","0.0 %","16839"
"2017","Rafael Bautista","Nationals","17","25","27","4","4","0","0","0","2","0","2","0","5","0","0","0","1","0","0",".160","7.4 %","18.5 %","0.40",".222",".160",".382",".000",".200","0","-3.2",".181","1.6","1","0.0","-0.2","-0.1","114","82","97","90","15.0 %","40.0 %","45.0 %","25.0 %","60.0 %","15.0 %","0.0 %","15769"
