Name,Season,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSVRRuns,linearSvrHR,linearSvrRBI,linearSvrAVG,linearSvrOPS,svrRuns,SvrHR,svrRBI,svrAVG,svrOPS,runs,hr,rbi,avg,ops
Jose Molina,2017,25,15.43279306,-3.310958406,13.89740236,0.174492459,0.417091509,15.52818843,-3.338022665,12.5673837,0.154767762,0.418521826,25.8731868,7.071527156,25.96714687,0.254,0.517005063,#REF!,#REF!,#REF!,#REF!,#REF!
Brian Roberts,2017,166,39.03172875,4.285275923,26.47640399,0.226938155,0.66002528,36.46562684,4.168672641,28.95863003,0.222029901,0.660513927,34.59529841,4.308097609,29.13034569,0.254,0.722527952,#REF!,#REF!,#REF!,#REF!,#REF!
Will Venable,2017,211,46.376408,9.164169099,40.70428138,0.249344055,0.677669254,46.31292796,9.120460962,40.73826259,0.246750061,0.678002565,45.49731731,9.637778874,40.25492651,0.254,0.732223962,#REF!,#REF!,#REF!,#REF!,#REF!
Paul Konerko,2017,242,18.4511531,5.39627655,20.62294461,0.196312722,0.571067952,18.10985912,5.213907664,20.87032326,0.184219904,0.571678355,21.3238262,5.071999684,22.59400357,0.254,0.652817102,#REF!,#REF!,#REF!,#REF!,#REF!
Adam Dunn,2017,319,61.3702372,21.70482208,66.36277769,0.246393566,0.752072658,59.92684806,21.37195027,65.89583489,0.248379283,0.751452622,55.93390855,21.83728368,63.99930581,0.254,0.780939216,#REF!,#REF!,#REF!,#REF!,#REF!
Victor Martinez,2017,393,69.66443561,19.54241771,80.76241541,0.273555463,0.793669196,70.49733928,19.10556337,76.41039006,0.278826207,0.793131037,71.090951,18.82917818,77.03614967,0.254,0.783545016,#REF!,#REF!,#REF!,#REF!,#REF!
Juan Uribe,2017,454,31.72929573,8.935226633,36.11111455,0.222569691,0.653387938,31.02389883,8.790126689,34.73103111,0.21613209,0.653659911,29.60521308,8.204152063,31.53537699,0.254,0.712971066,#REF!,#REF!,#REF!,#REF!,#REF!
Carlos Beltran,2017,589,71.24630325,22.63563005,83.9496478,0.27550717,0.822688936,70.37539705,22.01789235,81.46544467,0.28134746,0.821875301,72.54071858,23.71818639,82.53330611,0.254,0.79242475,#REF!,#REF!,#REF!,#REF!,#REF!
Raul Ibanez,2017,607,24.11066123,7.633582148,18.13722171,0.173849036,0.549085001,23.014177,7.310273707,21.38738764,0.160655323,0.549673752,23.40514112,5.854017677,22.77842943,0.254,0.645131251,#REF!,#REF!,#REF!,#REF!,#REF!
Brandon Barnes,2017,629,39.99444307,7.870714482,35.85638795,0.257848894,0.704662331,39.80789736,7.821833748,36.27459922,0.25611887,0.704830659,38.99126352,8.0502424,35.21353948,0.254,0.744860714,#REF!,#REF!,#REF!,#REF!,#REF!
Adrian Beltre,2017,639,82.63723064,24.06141132,89.35749598,0.285019357,0.851486933,82.59569933,23.38312954,86.87852704,0.294120272,0.850509752,86.81487008,24.76363395,90.73888765,0.254,0.802888826,#REF!,#REF!,#REF!,#REF!,#REF!
