,Name,Season,playerid,weightWRC,weightPA,weightH,weightAB,weightRBI,weightG,weight2B,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns
192,Charlie Blackmon,2019,7859,2.2625923352122164,1.6310088352074028,2.065036122454275,1.6487452955304023,1.0813170835186907,1.2437817309819357,1.1907812354103147,111.06693451360204,106.49771062945919,97.26377282591602,110.62596755841,109.69800658861558,109.59979580757081,110.59923449762903
224,Paul Goldschmidt,2019,9218,2.3189895725673857,1.5305934451713044,1.547835850412163,1.3111852628420804,1.6191896691129888,1.2957217195634443,1.3874267930094444,105.812523409079,104.26271502503292,98.38009227004247,105.78445073442705,105.53788536294039,105.67798879860366,105.77313677141399
399,Mookie Betts,2019,13611,2.3718619825878573,1.3390114510234854,1.763335963763043,1.2110300883081826,1.410231973990024,0.817873824613564,2.598349437172506,104.20631715271402,103.10290992239385,92.06663196259402,104.13987719357542,104.1362150507326,103.9610824164622,104.25635538739004
263,Mike Trout,2019,10155,2.4917061119675923,0.8765721548046119,0.8821799447283343,0.3986603393110125,0.988446996797373,0.49930856131364365,0.4145487712032241,104.69246165642565,102.89900756728923,87.75296889801618,104.72634838131594,104.47898267685827,104.7067612254971,104.6033279512248
369,Francisco Lindor,2019,12916,1.9700316664322741,1.8496765595623272,1.8160137692488139,1.839411072235674,1.402492800096581,1.3372737104286514,2.1015606600799677,105.59534291991952,102.32417629983723,94.67646757044832,105.32919102049988,104.94088180140648,104.6983460796967,105.39491222661047
395,Jose Ramirez,2019,13510,2.1956206158529525,1.4651913161346353,1.471213587887406,1.2941217886622312,1.626928843006432,1.2230057355493322,2.391354113383948,102.4456975000933,101.05281429280616,93.76210499086314,102.37994670271976,102.59843837697807,102.19706002569791,102.51921651257621
87,Joey Votto,2019,4314,2.153322687836575,1.329762665099108,1.2461356917209314,0.8957267610718381,1.0232732793178672,1.0983497629537111,0.9630863792429014,99.3502989204365,100.78253096425252,95.06112682767096,99.80004293527662,99.57311241015924,100.74805199701154,99.6761635695662
313,Christian Yelich,2019,11477,2.2097199251917443,1.405074207626182,1.7920693122098268,1.3237973959315341,1.804929842555624,1.067185769804806,1.4391756239565838,101.0807818877021,100.32769069260509,97.39318378033718,101.05874298324429,100.62196837603301,101.00169781299977,101.03889287347323
242,Nolan Arenado,2019,9777,2.2590675078775178,1.4869920258135252,1.7657304094669417,1.4335971428279555,2.5091946668589493,1.3026470513743122,1.8738658039125544,99.78937041633594,99.64086551561415,93.36270765020075,99.77845220336323,99.70895007041736,99.76704543970988,99.84069970349378
4,David Ortiz,2019,745,2.40358542860014,1.1474294568756664,1.5191025019653792,0.9840116926980146,2.8458487312237257,1.0844990993319754,2.7846452285822076,94.13896364856149,96.68122776888492,84.22187900395647,94.39063498132538,95.07664462812302,94.98093995940215,94.57821289859217
