Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Jay Bruce,Mets,RF,103,406,448,104,55,20,0,29,61,75,39,0,102,1,2,0,9,0,1,0.256,8.70%,22.80%,0.38,0.321,0.52,0.841,0.264,1.5,0.271,67,12,0.353,121,-0.7,-2.7,0.5,97,94,73,138,19.60%,44.10%,34.00%,21.90%,11.80%,45.80%,42.50%,9892
2018,Yasiel Puig,Dodgers,RF,125,405,444,108,63,21,1,23,60,63,36,2,87,1,2,0,15,15,5,0.267,8.10%,19.60%,0.41,0.327,0.494,0.82,0.227,4.8,0.286,64,12.3,0.349,123,0.7,1.6,-2.2,90,98,99,103,20.00%,41.90%,35.00%,23.10%,24.10%,37.50%,38.40%,14225
2017,Yasiel Puig,Dodgers,RF,152,499,570,131,77,24,2,28,72,74,64,8,100,2,5,0,21,15,6,0.263,11.20%,17.50%,0.64,0.346,0.487,0.833,0.224,4.4,0.274,83,13.3,0.349,117,0.1,-5.3,-2.4,125,78,109,101,19.40%,46.50%,30.50%,23.00%,18.30%,48.80%,32.90%,14225
2016,Hunter Pence,Giants,RF,106,395,442,114,77,23,1,13,58,57,43,1,95,1,3,0,10,1,1,0.289,9.70%,21.50%,0.45,0.357,0.451,0.808,0.162,2.5,0.348,63,11.1,0.349,119,-0.5,-2.2,-0.1,113,79,123,83,15.10%,34.00%,36.00%,30.00%,20.10%,49.80%,30.00%,8252
2018,Matt Kemp,Dodgers,RF,146,462,506,134,88,25,0,21,62,85,36,2,115,1,7,0,14,0,0,0.29,7.10%,22.70%,0.31,0.338,0.481,0.818,0.19,1.2,0.339,73,13.7,0.348,122,-0.3,-2.7,-1.2,79,123,81,109,15.60%,42.10%,35.90%,22.00%,13.80%,42.70%,43.50%,5631
2016,Stephen Piscotty,Cardinals,RF,153,582,649,159,99,35,3,22,86,85,51,0,133,12,2,1,14,7,5,0.273,7.90%,20.50%,0.38,0.343,0.457,0.8,0.184,4.1,0.319,91,14.5,0.345,116,-1,-2,-0.6,91,95,97,106,13.50%,42.30%,31.90%,25.90%,15.90%,52.00%,32.10%,13367
2016,Yasmany Tomas,Diamondbacks,RF,140,530,563,144,82,30,1,31,72,83,31,4,136,1,1,0,18,2,4,0.272,5.50%,24.20%,0.23,0.313,0.508,0.82,0.236,2.5,0.31,79,12.4,0.345,109,-1.5,-1.9,-2.2,64,99,107,92,25.00%,41.00%,29.40%,29.60%,14.90%,44.10%,41.00%,17171
2018,Nick Markakis,Braves,RF,162,623,705,185,126,43,2,14,78,93,72,10,80,1,9,0,18,1,1,0.297,10.20%,11.30%,0.9,0.366,0.44,0.806,0.143,2.1,0.318,100,17.2,0.345,115,-0.7,-1.4,-1.3,114,122,100,86,8.40%,31.70%,39.10%,29.20%,13.80%,45.70%,40.60%,5930
2017,Nick Williams,Phillies,RF,83,313,343,90,60,14,4,12,45,55,20,0,97,6,4,0,8,1,2,0.288,5.80%,28.30%,0.21,0.338,0.473,0.811,0.185,4.4,0.375,49,6.7,0.344,110,-0.9,-1.5,0.2,65,113,112,77,20.00%,31.80%,42.70%,25.50%,15.50%,50.90%,33.60%,14330
2016,Giancarlo Stanton,Marlins,RF,119,413,470,99,51,20,1,27,56,74,50,5,140,4,2,0,6,0,0,0.24,10.60%,29.80%,0.36,0.326,0.489,0.815,0.249,1.8,0.29,65,10,0.344,118,-0.2,-0.9,1,123,79,90,127,22.70%,40.40%,37.10%,22.60%,17.10%,40.00%,42.90%,4949
2016,Domingo Santana,Brewers,RF,77,246,281,63,38,14,0,11,34,32,32,0,91,2,1,0,7,2,3,0.256,11.40%,32.40%,0.35,0.345,0.447,0.792,0.191,2.1,0.359,39,5.8,0.343,111,-1,0,-0.3,132,142,99,75,27.50%,39.10%,35.90%,25.00%,14.10%,47.40%,38.50%,10348
2016,Bryce Harper,Nationals,RF,147,506,627,123,73,24,2,24,84,86,108,20,117,3,10,0,11,21,10,0.243,17.20%,18.70%,0.92,0.373,0.441,0.814,0.198,4.6,0.264,87,13,0.343,111,-0.3,1.1,1.4,199,81,90,124,14.30%,39.40%,34.30%,26.30%,19.80%,46.10%,34.10%,11579
2017,David Peralta,Diamondbacks,RF,140,525,577,154,106,31,3,14,82,57,43,1,94,6,3,0,7,8,4,0.293,7.50%,16.30%,0.46,0.352,0.444,0.796,0.15,4.6,0.333,81,10.2,0.342,104,-0.5,0.8,0.9,83,90,124,75,12.20%,31.30%,38.70%,30.00%,21.20%,47.00%,31.80%,2136
