"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"Donovan Solano","Giants","228","4","27","23",".330",".815","8623"
"Christian Walker","Diamondbacks","603","29","86","73",".259",".825","13419"
"Aledmys Diaz","Astros","247","9","36","40",".271",".823","15937"
"Omar Narvaez","Mariners","482","22","63","55",".278",".813","13338"
"Brett Gardner","Yankees","550","28","86","74",".251",".829","9927"
"Jose Abreu","White Sox","693","33","85","123",".284",".834","15676"
"Jake Cave","Twins","228","8","28","25",".258",".805","14477"
"Eloy Jimenez","White Sox","504","31","69","79",".267",".828","17484"
"Cavan Biggio","Blue Jays","430","16","66","48",".234",".793","19252"
"Brian Anderson","Marlins","520","20","57","66",".261",".811","18289"
"Eric Sogard","- - -","442","13","59","40",".290",".810","7927"
"Adam Eaton","Nationals","656","15","103","49",".279",".792","11205"
"Alex Verdugo","Dodgers","377","12","43","44",".294",".817","17027"
"Yandy Diaz","Rays","347","14","53","38",".267",".816","16578"
"Eduardo Escobar","Diamondbacks","699","35","94","118",".269",".831","6153"
"Alex Dickerson","- - -","190","6","29","28",".276",".820","12649"
"Corey Seager","Dodgers","541","19","82","87",".272",".817","13624"
"Byron Buxton","Twins","295","10","48","46",".262",".827","14161"
"Whit Merrifield","Royals","735","16","105","74",".302",".811","11281"
"J.T. Realmuto","Phillies","593","25","92","83",".275",".820","11739"
"Brandon Nimmo","Mets","254","8","34","29",".221",".783","12927"
"Kevin Newman","Pirates","531","12","61","64",".308",".800","17696"
"Carson Kelly","Diamondbacks","365","18","46","47",".245",".826","13620"
"Franmil Reyes","- - -","548","37","69","81",".249",".822","14566"
"Victor Caratini","Cubs","279","11","31","34",".266",".794","14968"
"David Peralta","Diamondbacks","423","12","48","57",".275",".804","2136"
"Marcell Ozuna","Cardinals","549","29","80","89",".243",".804","10324"
"Kurt Suzuki","Nationals","309","17","37","63",".264",".809","8259"
"Austin Nola","Mariners","267","10","37","31",".269",".796","15941"
"Garrett Cooper","Marlins","421","15","52","50",".281",".791","15279"
"Robinson Chirinos","Astros","437","17","57","58",".238",".790","3142"
"Pablo Sandoval","Giants","296","14","42","41",".268",".820","5409"
"David Bote","Cubs","356","11","47","41",".257",".785","14593"
"Jonathan Villar","Orioles","714","24","111","73",".274",".792","10071"
"Manny Machado","Padres","661","32","81","85",".256",".796","11493"
"Jose Ramirez","Indians","542","23","68","83",".255",".806","13510"
"Avisail Garcia","Rays","530","20","61","72",".282",".796","5760"
"Phillip Ervin","Reds","260","7","30","23",".271",".797","14738"
"Derek Dietrich","Reds","306","19","41","43",".187",".790","10542"
"Kolten Wong","Cardinals","549","11","61","59",".285",".784","12532"
"Shed Long","Mariners","168","5","21","15",".263",".787","16542"
"Clint Frazier","Yankees","246","12","31","38",".267",".806","15983"
"Brock Holt","Red Sox","295","3","38","31",".297",".771","9345"
"Daniel Vogelbach","Mariners","558","30","73","76",".208",".780","14130"
"A.J. Pollock","Dodgers","342","15","49","47",".266",".795","9256"
