"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"Erik Gonzalez","Pirates","156","1","15","6",".254",".618","13369"
"Pablo Reyes","Pirates","157","2","18","19",".203",".596","16357"
"Nicky Lopez","Royals","402","2","44","30",".240",".601","19339"
"John Hicks","Tigers","333","13","29","35",".210",".620","12547"
"Jace Peterson","Orioles","108","2","14","11",".220",".599","12325"
"Juan Lagares","Mets","285","5","38","27",".213",".605","5384"
"Jung Ho Kang","Pirates","185","10","15","24",".169",".617","17182"
"Charlie Tilson","White Sox","157","1","16","12",".229",".578","12983"
"Carlos Gonzalez","- - -","166","3","21","10",".200",".572","7287"
"Richie Martin Jr.","Orioles","309","6","29","23",".208",".581","17736"
"Billy Hamilton","- - -","353","0","41","15",".218",".564","10199"
"J.T. Riddle","Marlins","139","6","15","12",".189",".601","17642"
"Isan Diaz","Marlins","201","5","17","23",".173",".566","17922"
"Travis Shaw","Brewers","270","7","22","16",".157",".551","11982"
"Bubba Starling","Royals","197","4","26","12",".215",".572","13356"
"Lucas Duda","Royals","119","4","7","15",".171",".576","2502"
"Martin Prado","Marlins","260","2","26","15",".233",".559","3312"
"Austin Hedges","Padres","347","11","28","36",".176",".563","12976"
"Grayson Greiner","Tigers","224","5","18","19",".202",".559","17062"
"Jose Rondon","- - -","157","3","10","9",".196",".543","14140"
"Scooter Gennett","- - -","139","2","15","11",".226",".568","10339"
"Sandy Leon","Red Sox","191","5","14","19",".192",".548","5273"
"Daniel Descalso","Cubs","194","2","20","15",".173",".521","8392"
"Meibrys Viloria","Royals","148","1","7","15",".211",".544","17109"
"Mike Zunino","Rays","289","9","30","32",".165",".544","13265"
"Eduardo Nunez","Red Sox","174","2","13","20",".228",".548","6848"
"Mac Williamson","- - -","144","4","13","17",".156",".508","14158"
"Keon Broxton","- - -","228","6","24","16",".167",".517","9253"
"Tomas Nido","Mets","144","4","9","14",".191",".547","13755"
"Jedd Gyorko","- - -","101","2","6","9",".174",".498","10816"
"Humberto Arteaga","Royals","135","0","11","4",".197",".487","13595"
"Yonathan Daza","Rockies","105","0","7","3",".206",".494","15794"
"Jake Rogers","Tigers","128","4","11","8",".125",".481","19452"
"Josh Harrison","Tigers","147","1","10","8",".175",".480","8202"
"Lewis Brinson","Marlins","248","0","15","15",".173",".457","14352"
"Chris Owings","- - -","196","3","13","14",".139",".443","10030"
"Luke Maile","Blue Jays","129","2","9","9",".151",".440","13355"
"Nick Williams","Phillies","112","2","9","5",".151",".442","14330"
"Jeff Mathis","Rangers","244","2","17","12",".158",".433","3448"
"Max Stassi","- - -","147","1","7","5",".136",".378","10059"
"Zack Cozart","Angels","107","0","4","7",".124",".322","2616"
