Name,Season,League,Position,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSvrRBI,linearSvrAVG,linearSvrHR,linearSvrOPS,linearSVRRuns,svrRBI,svrAVG,SvrHR,svrOPS,svrRuns,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
Brian Anderson,2019,NL,3B,18289,85.91754451,15.7420175,59.74408133,0.283423858,0.756979842,62.90792471,0.281682627,15.50962945,0.757187909,85.51716863,66.52703011,0.2565,12.60426899,0.792553016,23.66548101,57,20,66,0.261,0.811
Daniel Murphy,2019,NL,1B,4316,60.5883406,15.23804985,62.76572121,0.284855447,0.850553291,60.41645816,0.288125601,15.25274762,0.851080939,60.89583578,60.4565683,0.2565,14.05142058,0.810734308,69.34767622,56,13,78,0.279,0.78
Brian Dozier,2019,NL,2B,9810,84.13689776,25.40697648,79.26742714,0.245534146,0.763298164,79.93925472,0.244174175,25.02463562,0.763725389,81.89014897,84.99713115,0.2565,25.56120723,0.800779311,51.00642748,54,20,50,0.238,0.771
Harrison Bader,2019,NL,OF,18030,54.47220804,11.7541533,45.29514607,0.278243751,0.755968905,44.31769382,0.281316414,11.83324843,0.756145843,53.19110608,46.26410659,0.2565,12.41450951,0.790898044,24.92210864,54,12,39,0.205,0.68
Wilson Ramos,2019,NL,C,1433,45.81834634,16.2550489,53.48968137,0.273906272,0.813058059,51.61716656,0.276144309,16.2979515,0.813478517,46.5607717,50.01364944,0.2565,15.68044507,0.804880293,91.97381381,52,14,73,0.288,0.768
Miguel Rojas,2019,NL,SS,7802,44.56190395,4.593897359,41.11000102,0.251127672,0.667887877,38.27656578,0.247439215,4.583646292,0.667356607,45.07895963,38.1539483,0.2565,4.895452952,0.733502575,55.04464349,52,5,46,0.284,0.71
Chris Taylor,2019,NL,OF,13757,79.97285768,21.40355152,62.90565715,0.281323432,0.797480738,67.85330232,0.284366218,21.20183701,0.798029662,77.5911804,72.57197668,0.2565,21.33477952,0.80509663,30.45666103,52,12,52,0.262,0.794
Jesse Winker,2019,NL,OF,13590,43.58638434,4.208999284,37.5533147,0.281882082,0.835977997,35.84738378,0.286421649,4.497119157,0.836399214,45.24441125,35.63109669,0.2565,6.118022849,0.805458018,32.92733401,51,16,38,0.269,0.83
Joe Panik,2019,NL,2B,11936,52.11229207,5.653361821,42.69406608,0.24794242,0.683172427,40.62759552,0.244250899,5.636730501,0.682760471,52.02592435,41.22268518,0.2565,4.621662285,0.745013939,45.26841459,50,5,39,0.244,0.651
A.J. Pollock,2019,NL,OF,9256,59.32183134,20.4641362,57.7979017,0.252779159,0.80029394,58.57756156,0.255054874,20.37868945,0.800781799,57.83086998,59.72831173,0.2565,21.18732773,0.80483697,53.11338819,49,15,47,0.266,0.795
David Peralta,2019,NL,OF,2136,86.07370754,25.14262365,79.93191973,0.289343452,0.846380415,81.85323505,0.291762939,24.92240644,0.847093697,83.5453541,84.84198882,0.2565,26.00432513,0.814206372,76.64412832,48,12,57,0.275,0.804
Maikel Franco,2019,NL,3B,12179,61.53684041,20.71700174,71.95728782,0.24818446,0.748894117,69.56204182,0.245050094,20.48292186,0.748974012,60.30544651,68.34406895,0.2565,21.88189589,0.791455114,38.32672976,48,17,56,0.234,0.705
Ben Gamel,2019,NL,OF,12160,44.60758456,2.627354959,29.23201058,0.272159109,0.730079785,31.0320037,0.27391567,2.780908901,0.729993639,44.2656581,32.48897109,0.2565,3.003616603,0.777709655,35.15600845,47,7,33,0.248,0.71
