"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","David Peralta","Diamondbacks","146","560","614","164","104","25","5","30","75","87","48","4","124","4","2","0","14","4","0",".293","7.8 %","20.2 %","0.39",".352",".516",".868",".223","4.2",".328","99","26.9",".368","131","0.4","0.9","-1.0","87","92","117","84","23.4 %","39.0 %","34.7 %","26.3 %","16.4 %","34.9 %","48.6 %","2136"
"2016","Christian Yelich","Marlins","155","578","659","172","110","38","3","21","78","98","72","4","138","4","5","0","20","9","4",".298","10.9 %","20.9 %","0.52",".376",".483",".859",".185","3.9",".356","104","26.8",".367","134","-0.2","3.1","-0.6","126","110","127","59","23.6 %","36.0 %","35.1 %","29.0 %","17.5 %","44.5 %","38.0 %","11477"
"2016","David Dahl","Rockies","63","222","237","70","47","12","4","7","42","24","15","0","59","0","0","0","3","5","0",".315","6.3 %","24.9 %","0.25",".359",".500",".859",".185","7.7",".404","37","9.5",".367","113","0.9","1.1","0.8","73","101","102","97","13.0 %","34.4 %","35.0 %","30.7 %","15.3 %","52.2 %","32.5 %","13744"
"2018","Jesse Winker","Reds","89","281","334","84","61","16","0","7","38","43","49","4","46","2","1","1","6","0","0",".299","14.7 %","13.8 %","1.07",".405",".431",".836",".132","1.1",".336","53","13.9",".366","128","-0.3","-2.0","0.1","163","110","97","97","8.9 %","37.1 %","37.1 %","25.7 %","11.8 %","44.3 %","43.9 %","13590"
"2016","Chris Young","Red Sox","76","203","227","56","29","18","0","9","29","24","21","0","50","3","0","0","4","4","2",".276","9.3 %","22.0 %","0.42",".352",".498",".850",".222","3.4",".326","35","8.6",".364","125","-0.1","0.4","0.5","115","122","58","140","11.8 %","50.3 %","27.5 %","22.2 %","23.5 %","39.2 %","37.3 %","3882"
"2018","Rhys Hoskins","Phillies","153","558","660","137","65","38","0","34","89","96","87","2","150","9","5","0","7","5","3",".246","13.2 %","22.7 %","0.58",".354",".496",".850",".251","2.6",".272","103","26.2",".363","128","-0.6","0.8","1.9","147","88","67","148","16.0 %","50.0 %","31.1 %","18.9 %","19.9 %","45.6 %","34.5 %","16472"
"2016","Robbie Grossman","Twins","99","332","389","93","62","19","1","11","49","37","55","0","96","2","0","0","3","2","3",".280","14.1 %","24.7 %","0.57",".386",".443",".828",".163","2.7",".364","60","14.4",".363","127","-1.1","1.3","1.1","176","124","86","104","12.8 %","41.5 %","32.2 %","26.3 %","17.4 %","51.3 %","31.4 %","5254"
"2017","Aaron Hicks","Yankees","88","301","361","80","47","18","0","15","54","52","51","0","67","3","5","1","8","10","5",".266","14.1 %","18.6 %","0.76",".372",".475",".847",".209","3.9",".290","57","12.8",".363","128","-0.4","3.3","-0.3","168","77","102","111","15.8 %","42.9 %","35.0 %","22.1 %","19.6 %","49.6 %","30.8 %","5297"
"2017","Adam Lind","Nationals","116","267","301","81","53","14","0","14","39","59","28","5","47","0","6","0","6","1","0",".303","9.3 %","15.6 %","0.60",".362",".513",".875",".210","2.2",".316","47","10.6",".363","120","0.0","-0.9","-0.4","103","86","104","103","17.1 %","35.4 %","39.4 %","25.2 %","13.7 %","46.9 %","39.4 %","8027"
"2016","Willson Contreras","Cubs","76","252","283","71","44","14","1","12","33","35","26","0","67","4","1","0","7","2","2",".282","9.2 %","23.7 %","0.39",".357",".488",".845",".206","2.9",".339","44","10.4",".363","126","-0.6","0.0","-0.7","106","85","122","81","23.5 %","42.5 %","34.4 %","23.1 %","17.7 %","50.0 %","32.3 %","11609"
"2017","Howie Kendrick","- - -","91","305","334","96","68","16","3","9","40","41","22","0","68","5","2","0","8","12","5",".315","6.6 %","20.4 %","0.32",".368",".475",".844",".161","5.7",".378","52","11.4",".361","120","0.0","-0.4","-0.6","73","107","131","57","18.8 %","31.4 %","38.9 %","29.7 %","17.2 %","51.5 %","31.4 %","4229"
"2017","Chris Taylor","Dodgers","140","514","568","148","88","34","5","21","85","72","50","0","142","3","1","0","2","17","4",".288","8.8 %","25.0 %","0.35",".354",".496",".850",".208","6.4",".361","89","19.3",".361","126","1.4","3.0","2.3","98","110","94","102","15.8 %","38.3 %","33.5 %","28.2 %","15.8 %","51.7 %","32.4 %","13757"
"2017","Khris Davis","Athletics","153","566","652","140","68","28","1","43","91","110","73","1","195","6","7","0","20","4","0",".247","11.2 %","29.9 %","0.37",".336",".528",".864",".281","3.4",".290","102","22.1",".361","130","0.4","0.3","-2.0","133","95","89","116","26.9 %","34.4 %","42.3 %","23.3 %","13.5 %","44.4 %","42.1 %","9112"
"2017","Aaron Altherr","Phillies","107","372","412","101","53","24","5","19","58","65","32","2","104","7","1","0","12","5","4",".272","7.8 %","25.2 %","0.31",".340",".516",".856",".245","5.5",".328","64","13.3",".359","120","-0.9","-0.1","-0.9","86","94","97","107","18.8 %","37.6 %","32.3 %","30.1 %","20.1 %","43.5 %","36.4 %","11270"
"2018","Michael Brantley","Indians","143","570","631","176","121","36","2","17","89","76","48","0","60","5","6","1","15","12","3",".309","7.6 %","9.5 %","0.80",".364",".468",".832",".160","4.8",".319","96","22.7",".359","124","0.8","1.4","-0.8","92","116","106","83","10.9 %","40.4 %","36.8 %","22.8 %","12.2 %","50.7 %","37.1 %","4106"
