"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2016","Jarrod Dyson","Royals","107","299","337","83","60","14","8","1","46","25","26","2","39","3","1","8","4","30","7",".278","7.7 %","11.6 %","0.67",".340",".388",".728",".110","8.7",".315","39","-0.5",".316","95","2.9","1.7","0.7","96","98","127","68","1.7 %","34.9 %","39.0 %","26.0 %","26.8 %","56.1 %","17.1 %","4866"
"2018","Adam Jones","Orioles","145","580","613","163","113","35","0","15","54","63","24","1","93","5","4","0","21","7","1",".281","3.9 %","15.2 %","0.26",".313",".419",".732",".138","3.0",".311","72","0.3",".315","96","0.6","1.0","-2.5","47","97","101","100","8.4 %","39.9 %","33.6 %","26.5 %","19.4 %","49.3 %","31.4 %","6368"
"2017","Delino DeShields","Rangers","120","376","440","101","78","15","2","6","75","22","44","0","109","3","4","13","2","29","8",".269","10.0 %","24.8 %","0.40",".347",".367",".714",".098","7.1",".358","51","-2.2",".315","86","2.1","5.3","1.8","119","99","104","96","6.8 %","39.4 %","31.0 %","29.6 %","20.1 %","56.0 %","23.9 %","11379"
"2017","Jackie Bradley Jr.","Red Sox","133","482","541","118","79","19","3","17","58","63","48","4","124","9","2","0","8","8","3",".245","8.9 %","22.9 %","0.39",".323",".402",".726",".158","4.5",".294","62","-3.7",".313","89","0.0","3.4","1.6","105","91","113","89","14.5 %","41.9 %","33.6 %","24.4 %","17.5 %","49.2 %","33.3 %","12984"
"2017","Byron Buxton","Twins","140","462","511","117","81","14","6","16","69","51","38","2","150","4","2","5","1","29","1",".253","7.4 %","29.4 %","0.25",".314",".413",".728",".160","8.2",".339","58","-4.0",".312","92","5.1","4.4","2.3","88","114","89","104","14.2 %","47.3 %","32.9 %","19.8 %","18.2 %","54.2 %","27.6 %","14161"
"2018","Jackie Bradley Jr.","Red Sox","144","474","535","111","61","33","4","13","76","59","46","3","137","11","4","0","6","17","1",".234","8.6 %","25.6 %","0.34",".314",".403",".717",".169","7.1",".299","61","-1.9",".310","90","2.7","2.3","0.7","104","97","102","100","10.6 %","45.2 %","34.3 %","20.5 %","10.0 %","49.0 %","41.1 %","12984"
"2016","Jacoby Ellsbury","Yankees","148","551","626","145","107","24","5","9","71","56","54","1","84","2","3","4","11","20","8",".263","8.6 %","13.4 %","0.64",".330",".374",".703",".111","5.7",".295","69","-5.0",".308","90","0.4","2.3","-0.2","108","111","105","87","6.2 %","39.2 %","37.8 %","23.0 %","22.2 %","51.3 %","26.6 %","4727"
"2016","Eddie Rosario","Twins","92","335","354","90","61","17","2","10","52","32","12","2","91","2","3","2","4","5","2",".269","3.4 %","25.7 %","0.13",".295",".421",".716",".152","5.6",".338","38","-4.2",".304","86","0.0","3.1","0.9","42","94","105","97","11.9 %","36.1 %","39.8 %","24.1 %","18.5 %","51.4 %","30.1 %","12155"
"2016","Byron Buxton","Twins","92","298","331","67","32","19","6","10","44","38","23","0","118","3","3","4","2","10","2",".225","6.9 %","35.6 %","0.19",".284",".430",".714",".205","7.9",".329","35","-3.9",".304","86","1.1","2.9","1.7","87","106","80","122","13.5 %","47.6 %","28.9 %","23.5 %","16.6 %","56.2 %","27.3 %","14161"
"2017","Kevin Pillar","Blue Jays","154","587","632","150","96","37","1","16","72","42","33","0","95","6","3","3","13","15","6",".256","5.2 %","15.0 %","0.35",".300",".404",".704",".148","4.4",".280","67","-9.9",".302","86","0.1","1.0","-0.1","62","101","100","100","8.9 %","40.2 %","34.9 %","24.9 %","22.5 %","50.2 %","27.3 %","12434"
