Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Jesse Winker,Reds,LF,89,281,334,84,61,16,0,7,38,43,49,4,46,2,1,1,6,0,0,0.299,14.70%,13.80%,1.07,0.405,0.431,0.836,0.132,1.1,0.336,53,13.9,0.366,128,-0.3,-2,0.1,163,110,97,97,8.90%,37.10%,37.10%,25.70%,11.80%,44.30%,43.90%,13590
2018,Rhys Hoskins,Phillies,LF,153,558,660,137,65,38,0,34,89,96,87,2,150,9,5,0,7,5,3,0.246,13.20%,22.70%,0.58,0.354,0.496,0.85,0.251,2.6,0.272,103,26.2,0.363,128,-0.6,0.8,1.9,147,88,67,148,16.00%,50.00%,31.10%,18.90%,19.90%,45.60%,34.50%,16472
2017,Adam Lind,Nationals,LF,116,267,301,81,53,14,0,14,39,59,28,5,47,0,6,0,6,1,0,0.303,9.30%,15.60%,0.6,0.362,0.513,0.875,0.21,2.2,0.316,47,10.6,0.363,120,0,-0.9,-0.4,103,86,104,103,17.10%,35.40%,39.40%,25.20%,13.70%,46.90%,39.40%,8027
2016,Willson Contreras,Cubs,LF,76,252,283,71,44,14,1,12,33,35,26,0,67,4,1,0,7,2,2,0.282,9.20%,23.70%,0.39,0.357,0.488,0.845,0.206,2.9,0.339,44,10.4,0.363,126,-0.6,0,-0.7,106,85,122,81,23.50%,42.50%,34.40%,23.10%,17.70%,50.00%,32.30%,11609
2017,Howie Kendrick,Nationals,LF,91,305,334,96,68,16,3,9,40,41,22,0,68,5,2,0,8,12,5,0.315,6.60%,20.40%,0.32,0.368,0.475,0.844,0.161,5.7,0.378,52,11.4,0.361,120,0,-0.4,-0.6,73,107,131,57,18.80%,31.40%,38.90%,29.70%,17.20%,51.50%,31.40%,4229
2017,Chris Taylor,Dodgers,LF,140,514,568,148,88,34,5,21,85,72,50,0,142,3,1,0,2,17,4,0.288,8.80%,25.00%,0.35,0.354,0.496,0.85,0.208,6.4,0.361,89,19.3,0.361,126,1.4,3,2.3,98,110,94,102,15.80%,38.30%,33.50%,28.20%,15.80%,51.70%,32.40%,13757
2017,Aaron Altherr,Phillies,LF,107,372,412,101,53,24,5,19,58,65,32,2,104,7,1,0,12,5,4,0.272,7.80%,25.20%,0.31,0.34,0.516,0.856,0.245,5.5,0.328,64,13.3,0.359,120,-0.9,-0.1,-0.9,86,94,97,107,18.80%,37.60%,32.30%,30.10%,20.10%,43.50%,36.40%,11270
2018,David Dahl,Rockies,LF,77,249,271,68,38,11,3,16,31,48,19,4,68,1,2,0,4,5,3,0.273,7.00%,25.10%,0.28,0.325,0.534,0.859,0.261,4.9,0.311,41,9.4,0.357,110,-0.4,-0.1,0.6,78,105,91,108,23.20%,45.40%,33.30%,21.30%,15.90%,46.50%,37.70%,13744
2017,Daniel Nava,Phillies,LF,80,183,214,55,42,8,1,4,21,21,26,0,38,3,2,0,2,1,0,0.301,12.10%,17.80%,0.68,0.393,0.421,0.813,0.12,3.1,0.357,33,6.5,0.357,118,0,-1.3,1,135,136,98,81,9.50%,44.20%,28.60%,27.20%,12.90%,53.10%,34.00%,5450
2017,Jose Pirela,Padres,LF,83,312,344,90,51,25,4,10,43,40,27,0,71,2,2,1,8,4,3,0.288,7.80%,20.60%,0.38,0.347,0.49,0.837,0.202,5,0.343,52,9.8,0.355,120,-0.7,0.7,0.2,87,103,107,90,13.20%,44.30%,30.30%,25.40%,19.30%,46.70%,34.00%,5485
2018,Ben Zobrist,Cubs,LF,139,455,520,139,99,28,3,9,67,58,55,1,60,2,7,1,8,3,4,0.305,10.60%,11.50%,0.92,0.378,0.44,0.817,0.134,3.2,0.331,78,16.9,0.355,123,-1.4,1.9,0,118,99,111,87,7.40%,47.20%,31.50%,21.30%,11.90%,52.60%,35.50%,7435
2018,Joc Pederson,Dodgers,LF,148,395,443,98,43,27,3,25,65,56,40,3,85,4,3,1,6,1,5,0.248,9.00%,19.20%,0.47,0.321,0.522,0.843,0.273,4,0.253,66,14.2,0.354,126,-2,2.8,0.6,101,78,91,125,18.40%,42.70%,34.40%,22.90%,15.60%,42.40%,42.00%,11899
2016,Starling Marte,Pirates,LF,129,489,529,152,104,34,5,9,71,46,23,5,104,16,0,1,8,47,12,0.311,4.30%,19.70%,0.22,0.362,0.456,0.818,0.145,7.7,0.38,77,14.3,0.351,120,4.2,1.7,0.9,50,110,108,83,8.40%,37.60%,37.30%,25.10%,21.00%,44.30%,34.70%,9241
2018,Matt Kemp,Dodgers,LF,146,462,506,134,88,25,0,21,62,85,36,2,115,1,7,0,14,0,0,0.29,7.10%,22.70%,0.31,0.338,0.481,0.818,0.19,1.2,0.339,73,13.7,0.348,122,-0.3,-2.7,-1.2,79,123,81,109,15.60%,42.10%,35.90%,22.00%,13.80%,42.70%,43.50%,5631
2017,Brandon Nimmo,Mets,LF,69,177,215,46,29,11,1,5,26,21,33,1,60,2,2,1,3,2,0,0.26,15.30%,27.90%,0.55,0.379,0.418,0.797,0.158,4.5,0.36,31,4.9,0.348,118,0.2,-0.3,0.6,171,119,97,93,12.80%,32.50%,36.70%,30.80%,15.00%,50.00%,35.00%,12927
2017,Ryan Braun,Brewers,LF,104,380,425,102,55,28,2,17,58,52,38,2,76,3,4,0,15,12,4,0.268,8.90%,17.90%,0.5,0.336,0.487,0.823,0.218,5.3,0.292,61,9.2,0.347,111,0.5,0.5,-1.3,99,92,111,91,17.30%,38.60%,35.10%,26.30%,19.20%,41.90%,39.00%,3410
2016,Yasmany Tomas,Diamondbacks,LF,140,530,563,144,82,30,1,31,72,83,31,4,136,1,1,0,18,2,4,0.272,5.50%,24.20%,0.23,0.313,0.508,0.82,0.236,2.5,0.31,79,12.4,0.345,109,-1.5,-1.9,-2.2,64,99,107,92,25.00%,41.00%,29.40%,29.60%,14.90%,44.10%,41.00%,17171
2018,Kyle Schwarber,Cubs,LF,137,428,510,102,59,14,3,26,64,61,78,20,140,1,2,1,6,4,3,0.238,15.30%,27.50%,0.56,0.356,0.467,0.823,0.229,3.8,0.288,71,11.7,0.343,115,-0.7,0.4,1.4,170,88,101,106,24.50%,43.60%,33.30%,23.00%,16.80%,43.00%,40.20%,16478
2018,Michael Conforto,Mets,LF,153,543,638,132,78,25,1,28,78,82,84,8,159,7,4,0,10,3,4,0.243,13.20%,24.90%,0.53,0.35,0.448,0.797,0.204,2.4,0.289,89,14.4,0.342,120,-1.4,0.9,0.6,147,90,101,105,19.70%,43.00%,31.70%,25.30%,17.80%,46.40%,35.80%,16376
2017,David Peralta,Diamondbacks,LF,140,525,577,154,106,31,3,14,82,57,43,1,94,6,3,0,7,8,4,0.293,7.50%,16.30%,0.46,0.352,0.444,0.796,0.15,4.6,0.333,81,10.2,0.342,104,-0.5,0.8,0.9,83,90,124,75,12.20%,31.30%,38.70%,30.00%,21.20%,47.00%,31.80%,2136
2018,Corey Dickerson,Pirates,LF,135,504,533,151,96,35,7,13,65,55,21,4,80,4,4,0,14,8,3,0.3,3.90%,15.00%,0.26,0.33,0.474,0.804,0.175,5.6,0.333,74,11.2,0.341,115,0.1,-1.4,-1.8,44,125,87,101,8.70%,31.10%,36.20%,32.70%,17.80%,48.10%,34.10%,10762
2018,Hunter Renfroe,Padres,LF,117,403,441,100,50,23,1,26,53,68,30,2,109,3,5,0,9,2,1,0.248,6.80%,24.70%,0.28,0.302,0.504,0.805,0.256,2.8,0.271,60,8.5,0.338,114,-0.2,-0.4,-0.5,76,90,87,123,20.30%,48.80%,33.10%,18.10%,18.10%,34.80%,47.20%,15464
2017,Brian Goodwin,Nationals,LF,74,251,278,63,28,21,1,13,41,30,23,2,69,1,3,0,3,6,0,0.251,8.30%,24.80%,0.33,0.313,0.498,0.811,0.247,6,0.291,38,3.8,0.337,103,1.1,-1.7,0.4,92,93,86,122,16.50%,45.40%,29.20%,25.40%,16.20%,49.70%,34.10%,12858
2017,Gerardo Parra,Rockies,LF,115,392,425,121,86,24,1,10,56,71,20,0,67,4,9,0,13,2,5,0.309,4.70%,15.80%,0.3,0.341,0.452,0.793,0.143,3,0.343,57,5.6,0.337,91,-2,-1.2,-1.1,52,112,106,86,10.10%,33.20%,37.10%,29.60%,14.40%,50.90%,34.70%,8553
2016,Alex Dickerson,Padres,LF,84,253,285,65,37,16,2,10,39,37,26,2,44,4,2,0,5,5,1,0.257,9.10%,15.40%,0.59,0.333,0.455,0.788,0.198,5.4,0.274,38,4.2,0.336,111,0.4,-0.8,0.4,106,106,83,119,11.80%,43.10%,29.90%,27.00%,23.70%,42.20%,34.10%,12649
2016,Matt Holliday,Cardinals,LF,110,382,426,94,53,20,1,20,48,62,35,1,71,8,1,0,9,0,0,0.246,8.20%,16.70%,0.49,0.322,0.461,0.782,0.215,1.6,0.253,56,6.1,0.335,109,-0.2,-1.5,-0.2,95,66,112,105,17.90%,37.80%,34.00%,28.20%,17.60%,43.90%,38.50%,1873
2016,Brandon Drury,Diamondbacks,LF,134,461,499,130,82,31,1,16,59,53,31,2,100,3,4,0,14,1,1,0.282,6.20%,20.00%,0.31,0.329,0.458,0.786,0.176,2.4,0.327,66,7,0.335,102,-0.5,1.4,-2.8,72,96,112,87,14.80%,45.80%,32.10%,22.20%,17.30%,49.90%,32.90%,11615
2016,Rickie Weeks Jr.,Diamondbacks,LF,108,180,205,43,24,9,1,9,29,27,20,0,54,4,1,0,8,5,0,0.239,9.80%,26.30%,0.37,0.327,0.45,0.777,0.211,6.2,0.288,27,2.8,0.335,102,0.9,1,-0.7,113,85,100,108,19.10%,40.20%,40.90%,18.90%,15.80%,44.10%,40.20%,1849
2018,Charlie Culberson,Braves,LF,113,296,322,80,48,18,2,12,47,45,21,5,85,4,1,0,5,4,2,0.27,6.50%,26.40%,0.25,0.326,0.466,0.792,0.196,5,0.34,43,5.3,0.335,108,-0.2,1,-0.2,73,93,120,80,20.70%,42.50%,31.60%,25.90%,21.70%,46.70%,31.60%,3298
2016,Matt Kemp,Padres,LF,156,623,672,167,93,39,0,35,89,108,36,6,156,1,12,0,17,1,0,0.268,5.40%,23.20%,0.23,0.304,0.499,0.803,0.231,2.2,0.297,88,8.5,0.333,108,-0.1,-0.2,-0.4,62,96,89,116,18.40%,44.50%,33.00%,22.60%,15.20%,48.90%,35.90%,5631
2016,Jorge Soler,Cubs,LF,86,227,264,54,33,9,0,12,37,31,31,0,66,3,3,0,5,0,0,0.238,11.70%,25.00%,0.47,0.333,0.436,0.769,0.198,1.7,0.276,34,3.2,0.333,106,-0.2,1,0.3,136,81,89,127,16.90%,42.70%,35.40%,22.00%,18.90%,50.00%,31.10%,14221
2016,Adam Duvall,Reds,LF,150,552,608,133,63,31,6,33,85,103,41,1,164,6,8,0,7,6,5,0.241,6.70%,27.00%,0.25,0.297,0.498,0.795,0.257,5.3,0.275,79,7.4,0.333,104,-1.1,0.6,1.4,78,92,76,137,17.80%,49.50%,31.10%,19.40%,16.40%,44.70%,38.90%,10950
2017,Kyle Schwarber,Cubs,LF,129,422,486,89,42,16,1,30,67,59,59,1,150,5,0,0,6,1,1,0.211,12.10%,30.90%,0.39,0.315,0.467,0.782,0.256,2.8,0.244,64,4.8,0.333,103,-0.5,-0.5,0.6,135,74,87,132,24.00%,44.50%,30.20%,25.40%,21.30%,42.30%,36.40%,16478
2017,Jon Jay,Cubs,LF,141,379,433,112,89,18,3,2,65,34,37,3,80,12,2,3,11,6,2,0.296,8.50%,18.50%,0.46,0.374,0.375,0.749,0.079,5.3,0.368,56,3.4,0.33,101,0,3.9,-1.1,95,141,106,68,2.90%,28.30%,36.50%,35.20%,11.50%,63.20%,25.30%,5227
2018,Ryan Braun,Brewers,LF,125,405,447,103,57,25,1,20,59,64,34,5,85,2,3,0,8,11,5,0.254,7.60%,19.00%,0.4,0.313,0.469,0.782,0.215,4.6,0.274,58,5.6,0.33,105,0,0,0.1,85,106,112,82,22.00%,39.60%,34.40%,26.00%,16.40%,40.60%,43.00%,3410
2016,Brandon Moss,Cardinals,LF,128,413,464,93,44,19,2,28,66,67,39,3,141,7,5,0,8,1,0,0.225,8.40%,30.40%,0.28,0.3,0.484,0.784,0.259,3.9,0.261,59,4.2,0.329,105,0,0.2,0,97,96,60,154,19.40%,46.20%,31.40%,22.40%,19.10%,40.80%,40.10%,4467
2018,Ian Happ,Cubs,LF,142,387,462,90,54,19,2,15,56,44,70,9,167,3,2,0,6,8,4,0.233,15.20%,36.10%,0.42,0.353,0.408,0.761,0.176,4.5,0.362,59,5.4,0.329,106,-0.3,0.7,0,169,103,92,108,17.90%,36.00%,36.50%,27.50%,17.60%,44.10%,38.30%,17919
2017,Matt Kemp,Braves,LF,115,438,467,121,78,23,1,19,47,64,27,5,99,0,1,0,25,0,2,0.276,5.80%,21.20%,0.27,0.318,0.463,0.781,0.187,1.7,0.318,60,2.7,0.328,98,-1.1,-1.4,-4,64,113,110,80,19.80%,39.10%,36.80%,24.10%,17.40%,47.90%,34.70%,5631
2018,Wil Myers,Padres,LF,83,312,343,79,42,25,1,11,39,39,30,1,94,0,1,0,10,13,1,0.253,8.70%,27.40%,0.32,0.318,0.446,0.763,0.192,5.6,0.327,44,3.6,0.328,107,2,2.5,-0.8,97,126,101,83,17.50%,50.20%,33.30%,16.40%,12.30%,41.10%,46.60%,10047
2016,Jayson Werth,Nationals,LF,143,525,606,128,79,28,0,21,84,69,71,0,139,4,6,0,17,5,1,0.244,11.70%,22.90%,0.51,0.335,0.417,0.752,0.173,3.4,0.288,76,4.6,0.327,100,0.2,3.6,-1.7,136,82,92,122,12.90%,42.90%,34.20%,23.00%,16.10%,48.00%,36.00%,1327
2018,Marcell Ozuna,Cardinals,LF,148,582,628,163,122,16,2,23,69,88,38,2,110,3,4,0,10,3,0,0.28,6.10%,17.50%,0.35,0.325,0.433,0.758,0.153,3.2,0.309,79,6.1,0.327,107,0.2,3.1,1.1,67,83,109,100,13.90%,42.20%,35.30%,22.50%,15.80%,39.10%,45.20%,10324
2017,Adam Duvall,Reds,LF,157,587,647,146,75,37,3,31,78,99,39,1,170,10,11,0,11,5,3,0.249,6.00%,26.30%,0.23,0.301,0.48,0.782,0.232,3.9,0.29,82,3.1,0.327,96,-0.6,-2,2.3,67,89,75,138,14.90%,43.70%,30.60%,25.70%,17.50%,50.70%,31.80%,10950
2018,Derek Dietrich,Marlins,LF,149,499,551,132,88,26,2,16,72,45,29,2,140,21,2,0,5,2,0,0.265,5.30%,25.40%,0.21,0.33,0.421,0.751,0.156,4.1,0.336,70,5.3,0.326,108,0.1,-1.8,1.4,59,106,94,103,12.30%,41.30%,33.80%,24.90%,19.40%,44.00%,36.60%,10542
2016,Jeremy Hazelbaker,Cardinals,LF,114,200,224,47,25,7,3,12,35,28,18,2,64,0,2,4,1,5,2,0.235,8.00%,28.60%,0.28,0.295,0.48,0.775,0.245,7.2,0.278,27,1.1,0.324,102,0.1,-1.6,1.1,93,70,111,104,25.00%,34.50%,33.80%,31.70%,25.40%,43.70%,31.00%,9399
2016,Angel Pagan,Giants,LF,129,495,543,137,96,24,5,12,71,55,42,1,66,0,3,0,11,15,4,0.277,7.70%,12.20%,0.64,0.331,0.418,0.75,0.141,5.9,0.298,66,2.5,0.324,102,1.1,1,-0.3,90,118,95,95,8.60%,40.10%,33.10%,26.90%,20.40%,55.30%,24.30%,2918
2017,Adam Frazier,Pirates,LF,121,406,454,112,80,20,6,6,55,53,36,2,57,8,3,1,9,9,5,0.276,7.90%,12.60%,0.63,0.344,0.399,0.743,0.123,5.7,0.306,56,0.5,0.322,97,-0.6,3.9,-0.6,88,123,108,76,6.40%,32.30%,32.90%,34.80%,17.90%,54.70%,27.50%,15223
2016,Trayce Thompson,Dodgers,LF,80,236,262,53,29,11,0,13,31,32,26,0,66,0,0,0,3,5,1,0.225,9.90%,25.20%,0.39,0.302,0.436,0.738,0.212,3.7,0.255,31,0,0.318,100,0.5,2.6,1.1,115,78,116,93,24.10%,41.20%,41.80%,17.10%,19.40%,49.40%,31.20%,9952
2017,Daniel Descalso,Diamondbacks,LF,131,344,398,80,49,16,5,10,47,51,48,0,89,4,2,0,6,4,0,0.233,12.10%,22.40%,0.54,0.332,0.395,0.727,0.163,5.8,0.283,47,-1.1,0.318,88,0.5,-0.2,0.3,134,87,88,123,9.00%,43.60%,34.60%,21.80%,16.00%,47.10%,37.00%,8392
2016,Melvin Upton Jr.,Padres,LF,92,344,374,88,59,11,2,16,46,45,23,1,106,2,3,1,5,20,5,0.256,6.10%,28.30%,0.22,0.304,0.439,0.743,0.183,6.3,0.32,44,-0.4,0.317,98,1.8,1.1,0.6,71,89,103,102,19.30%,32.80%,37.30%,29.90%,18.70%,47.70%,33.60%,5015
2017,Matt Szczur,Padres,LF,119,195,237,44,27,12,2,3,28,18,34,0,44,4,1,3,2,0,2,0.226,14.30%,18.60%,0.77,0.35,0.354,0.704,0.128,3.9,0.275,28,-1,0.316,94,-1,0.7,0.8,159,91,87,121,4.70%,41.30%,31.60%,27.10%,25.80%,54.20%,20.00%,11255
2017,Randal Grichuk,Cardinals,LF,122,412,442,98,48,25,3,22,53,59,26,3,133,2,2,0,9,6,1,0.238,5.90%,30.10%,0.2,0.285,0.473,0.758,0.235,5.2,0.293,52,-2,0.315,95,0.6,1.9,0.5,65,104,81,121,18.30%,51.30%,27.80%,21.00%,18.20%,41.60%,40.20%,10243
2018,Phillip Ervin,Reds,LF,78,218,247,55,37,10,1,7,27,31,20,1,60,5,4,0,5,6,1,0.252,8.10%,24.30%,0.33,0.324,0.404,0.728,0.151,5.1,0.31,29,0.1,0.315,94,0.6,1.7,0.1,90,127,84,103,12.30%,35.20%,30.30%,34.60%,19.80%,45.70%,34.60%,14738
2018,Gerardo Parra,Rockies,LF,142,401,443,114,91,17,0,6,52,53,32,3,75,5,3,2,6,11,4,0.284,7.20%,16.90%,0.43,0.342,0.372,0.714,0.087,4,0.334,51,-0.7,0.313,80,0.3,-1.5,0.5,80,114,108,81,6.60%,36.30%,33.80%,29.90%,13.90%,52.00%,34.10%,8553
2016,Michael Conforto,Mets,LF,109,304,348,67,33,21,1,12,38,42,36,2,89,5,3,0,6,2,1,0.22,10.30%,25.60%,0.4,0.31,0.414,0.725,0.194,3.3,0.267,39,-1.8,0.312,97,-0.2,0.8,0.5,120,89,81,132,12.20%,42.70%,32.60%,24.80%,17.40%,42.70%,39.90%,16376
2017,Starling Marte,Pirates,LF,77,309,339,85,69,7,2,7,48,31,20,0,63,8,2,0,5,21,4,0.275,5.90%,18.60%,0.32,0.333,0.379,0.712,0.104,7.1,0.324,39,-2.6,0.312,91,2.3,0.6,-0.1,66,102,111,85,9.90%,36.30%,33.90%,29.80%,29.00%,44.80%,26.20%,9241
