"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2017","Alex Wood","Dodgers","27","52","58","3","3","0","0","0","1","4","2","0","29","0","0","4","1","0","0",".058","3.4 %","50.0 %","0.07",".093",".058",".150",".000","0.8",".130","-5","-12.1",".074","-63","0.0","","","38","54","176","32","0.0 %","33.3 %","33.3 %","33.3 %","29.6 %","59.3 %","11.1 %","13781"
"2017","Zack Godley","Diamondbacks","27","42","53","2","2","0","0","0","1","2","2","0","26","0","0","9","0","0","0",".048","3.8 %","49.1 %","0.08",".091",".048",".139",".000","1.1",".125","-5","-11.2",".071","-74","0.0","","","42","32","151","76","0.0 %","32.0 %","24.0 %","44.0 %","48.0 %","44.0 %","8.0 %","14862"
"2018","Derek Holland","Giants","37","53","56","3","2","1","0","0","2","0","1","0","33","0","0","2","1","0","0",".057","1.8 %","58.9 %","0.03",".074",".075",".150",".019","2.6",".150","-5","-11.3",".068","-65","0.0","","","20","23","173","57","0.0 %","27.3 %","27.3 %","45.5 %","22.7 %","45.5 %","31.8 %","4141"
"2018","Jose Quintana","Cubs","32","52","58","4","4","0","0","0","0","0","0","0","26","0","0","6","3","0","0",".077","0.0 %","44.8 %","0.00",".077",".077",".154",".000","0.1",".154","-5","-11.7",".068","-69","0.0","","","0","57","193","12","0.0 %","15.6 %","40.6 %","43.8 %","40.6 %","50.0 %","9.4 %","11423"
"2018","Sean Newcomb","Braves","31","45","53","2","1","1","0","0","3","1","1","0","32","0","0","7","0","0","0",".044","1.9 %","60.4 %","0.03",".065",".067",".132",".022","2.6",".154","-5","-11.0",".061","-75","0.0","","","21","0","193","48","0.0 %","21.1 %","31.6 %","47.4 %","36.8 %","52.6 %","10.5 %","16943"
"2018","Aaron Nola","Phillies","33","62","70","3","2","1","0","0","0","4","1","0","36","0","0","7","3","0","0",".048","1.4 %","51.4 %","0.03",".063",".065",".128",".016","0.1",".115","-6","-14.6",".059","-76","0.0","","","16","62","158","52","0.0 %","18.2 %","33.3 %","48.5 %","36.4 %","57.6 %","6.1 %","16149"
"2018","Jose Urena","Marlins","32","48","52","2","1","1","0","0","1","1","1","0","35","0","0","3","0","0","0",".042","1.9 %","67.3 %","0.03",".061",".063",".124",".021","1.6",".154","-5","-10.9",".057","-72","0.0","","","21","0","165","82","0.0 %","12.5 %","50.0 %","37.5 %","62.5 %","12.5 %","25.0 %","11589"
"2018","Mike Foltynewicz","Braves","31","58","66","3","2","1","0","0","3","4","0","0","41","0","0","8","0","0","0",".052","0.0 %","62.1 %","0.00",".052",".069",".121",".017","2.6",".176","-6","-14.2",".052","-81","0.0","","","0","33","149","82","0.0 %","28.0 %","36.0 %","36.0 %","32.0 %","56.0 %","12.0 %","10811"
"2017","Michael Wacha","Cardinals","30","46","55","2","2","0","0","0","3","3","1","0","22","0","1","7","2","0","0",".043","1.8 %","40.0 %","0.05",".063",".043",".106",".000","2.6",".080","-6","-12.5",".051","-79","0.0","","","20","0","185","52","0.0 %","9.4 %","28.1 %","62.5 %","28.1 %","56.3 %","15.6 %","14078"
"2016","Dan Straily","Reds","34","52","65","1","1","0","0","0","2","1","2","0","40","0","0","11","0","0","0",".019","3.1 %","61.5 %","0.05",".056",".019",".075",".000","2.6",".083","-7","-14.8",".042","-91","0.0","","","36","59","196","0","0.0 %","0.0 %","17.4 %","82.6 %","17.4 %","73.9 %","8.7 %","9460"
"2018","Alex Wood","Dodgers","33","44","50","2","2","0","0","0","1","0","0","0","25","0","0","6","0","1","0",".045","0.0 %","50.0 %","0.00",".045",".045",".091",".000","6.9",".105","-5","-11.2",".040","-83","0.2","","","0","33","198","20","0.0 %","36.0 %","36.0 %","28.0 %","40.0 %","56.0 %","4.0 %","13781"
"2017","Ivan Nova","Pirates","31","51","60","1","1","0","0","0","0","0","0","0","31","0","0","9","0","0","0",".020","0.0 %","51.7 %","0.00",".020",".020",".039",".000","0.1",".050","-8","-15.4",".017","-100","0.0","","","0","51","143","75","0.0 %","10.3 %","44.8 %","44.8 %","44.8 %","51.7 %","3.5 %","1994"
"2018","Ivan Nova","Pirates","29","53","56","1","1","0","0","0","1","0","0","0","30","0","0","3","1","0","0",".019","0.0 %","53.6 %","0.00",".019",".019",".038",".000","2.6",".043","-7","-13.6",".017","-100","0.0","","","0","62","158","52","0.0 %","11.5 %","38.5 %","50.0 %","50.0 %","38.5 %","11.5 %","1994"
