Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2016,Carlos Correa,Astros,SS,153,577,660,158,99,36,3,20,76,96,75,5,139,5,3,0,12,13,3,0.274,11.40%,21.10%,0.54,0.361,0.451,0.811,0.177,4.5,0.328,95,16.9,0.349,123,1,2,0.8,142,110,114,77,16.50%,39.00%,34.70%,26.30%,16.30%,46.50%,37.20%,14162
2016,Xander Bogaerts,Red Sox,SS,157,652,719,192,136,34,1,21,115,89,58,0,123,6,3,0,14,13,4,0.294,8.10%,17.10%,0.47,0.356,0.446,0.802,0.152,4.5,0.335,102,17.5,0.348,114,0.5,3.8,1.7,101,96,103,98,11.40%,44.60%,31.20%,24.30%,20.50%,48.90%,30.60%,12161
2016,Asdrubal Cabrera,Mets,SS,141,521,568,146,92,30,1,23,65,62,38,3,103,7,2,0,14,5,1,0.28,6.70%,18.10%,0.37,0.336,0.474,0.81,0.194,3.4,0.31,80,12.8,0.345,120,0.3,-2.7,-1.4,77,108,84,116,14.00%,51.20%,27.10%,21.70%,14.50%,48.80%,36.70%,4962
2016,Elvis Andrus,Rangers,SS,147,506,568,153,107,31,7,8,75,69,47,2,70,4,7,4,18,24,8,0.302,8.30%,12.30%,0.67,0.362,0.439,0.8,0.136,6.7,0.333,79,12.3,0.344,109,1.2,3.1,-2.3,103,116,108,80,6.30%,42.70%,34.70%,22.60%,17.70%,55.30%,27.10%,8709
2017,Elvis Andrus,Rangers,SS,158,643,689,191,123,44,4,20,100,88,38,0,101,3,4,1,18,25,10,0.297,5.50%,14.70%,0.38,0.337,0.471,0.808,0.174,5.7,0.325,97,13.2,0.344,105,0.4,5,-1,65,98,112,86,11.60%,44.80%,36.00%,19.20%,18.70%,50.80%,30.50%,8709
2017,Eric Sogard,Brewers,SS,94,249,299,68,49,15,1,3,37,18,45,2,37,4,0,1,7,3,3,0.273,15.10%,12.40%,1.22,0.393,0.378,0.77,0.104,3.3,0.311,42,5.7,0.343,109,-0.9,-0.8,-0.7,167,139,88,92,4.50%,38.00%,31.50%,30.50%,16.90%,56.80%,26.30%,7927
2018,Jurickson Profar,Rangers,SS,146,524,594,133,72,35,6,20,82,77,54,1,88,12,4,0,9,10,0,0.254,9.10%,14.80%,0.61,0.335,0.458,0.793,0.204,6.3,0.269,82,12.8,0.341,107,1.7,1.5,0.8,110,103,104,94,13.20%,39.80%,33.00%,27.30%,20.20%,42.50%,37.30%,10815
2018,Adalberto Mondesi,Royals,SS,75,275,291,76,46,13,3,14,47,37,11,0,77,1,1,3,2,32,7,0.276,3.80%,26.50%,0.14,0.306,0.498,0.804,0.222,8.6,0.335,40,6.2,0.341,114,3.4,1,0.7,46,100,97,103,19.70%,41.60%,40.60%,17.80%,17.80%,39.10%,43.10%,13769
2016,Francisco Lindor,Indians,SS,158,604,684,182,134,30,3,15,99,78,57,3,88,5,15,3,18,19,5,0.301,8.30%,12.90%,0.65,0.358,0.435,0.794,0.134,5.5,0.324,93,12.6,0.34,109,1.3,0.2,-0.7,104,109,112,80,9.90%,39.10%,35.60%,25.30%,17.20%,55.20%,27.50%,12916
2016,Greg Garcia,Cardinals,SS,99,214,257,59,45,11,0,3,33,17,38,4,50,4,1,0,3,1,1,0.276,14.80%,19.50%,0.76,0.393,0.369,0.762,0.093,2.2,0.346,35,4.3,0.338,111,-0.4,1.9,0.2,171,120,113,71,7.70%,33.30%,35.80%,30.90%,17.60%,58.80%,23.60%,10951
2017,Asdrubal Cabrera,Mets,SS,135,479,540,134,88,32,0,14,66,59,50,1,83,5,5,1,19,3,2,0.28,9.30%,15.40%,0.6,0.351,0.434,0.785,0.154,2.5,0.31,74,7.8,0.338,112,-0.6,-6.2,-2.1,103,99,98,103,9.70%,46.30%,34.30%,19.40%,17.20%,46.00%,36.80%,4962
2017,Trea Turner,Nationals,SS,98,412,447,117,76,24,6,11,75,45,30,0,80,4,1,0,4,46,8,0.284,6.70%,17.90%,0.38,0.338,0.451,0.789,0.167,8.9,0.329,61,6.4,0.338,104,5.5,1.5,0.8,75,72,117,95,9.90%,39.30%,37.80%,22.80%,18.00%,55.30%,26.70%,16252
