"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2017","Jeff Mathis","Diamondbacks","60","186","203","40","26","10","2","2","13","11","14","1","61","2","0","1","6","1","0",".215","6.9 %","30.0 %","0.23",".277",".323",".600",".108","4.3",".309","15","-10.1",".262","51","0.1","0.1","-0.6","77","113","94","100","4.5 %","38.9 %","39.7 %","21.4 %","16.7 %","52.4 %","31.0 %","3448"
"2018","Tony Wolters","Rockies","74","182","216","31","20","4","4","3","19","27","26","2","33","6","2","0","6","2","0",".170","12.0 %","15.3 %","0.79",".292",".286",".577",".115","5.9",".189","16","-9.5",".261","46","0.3","1.2","-0.6","134","71","132","79","7.3 %","35.8 %","33.8 %","30.5 %","17.9 %","60.9 %","21.2 %","11470"
"2016","Dioner Navarro","- - -","101","304","334","63","42","13","2","6","26","35","23","0","71","2","3","2","5","1","2",".207","6.9 %","21.3 %","0.32",".265",".322",".587",".115","3.0",".248","23","-16.6",".258","58","-0.8","-1.3","0.5","86","103","79","124","5.8 %","39.9 %","34.5 %","25.6 %","20.6 %","53.4 %","26.1 %","3179"
"2018","James McCann","Tigers","118","427","457","94","70","16","0","8","31","39","26","0","116","2","2","0","9","0","3",".220","5.7 %","25.4 %","0.22",".267",".314",".581",".094","1.3",".282","32","-21.8",".256","57","-1.5","-2.7","0.1","69","105","91","108","6.6 %","33.2 %","37.4 %","29.4 %","17.3 %","46.3 %","36.4 %","12859"
"2017","Elias Diaz","Pirates","64","188","200","42","27","14","0","1","18","19","11","0","38","0","1","0","8","1","0",".223","5.5 %","19.0 %","0.29",".265",".314",".579",".090","3.0",".273","13","-11.5",".253","52","0.1","-1.7","-1.1","61","87","118","85","2.2 %","33.1 %","38.4 %","28.5 %","23.8 %","50.3 %","25.8 %","11680"
"2016","Derek Norris","Padres","125","415","458","77","46","17","0","14","50","42","36","5","139","4","3","0","9","9","2",".186","7.9 %","30.3 %","0.26",".255",".328",".583",".142","4.4",".238","29","-25.1",".252","54","0.8","1.0","-0.2","91","103","79","126","11.7 %","41.2 %","30.1 %","28.7 %","16.5 %","49.1 %","34.4 %","6867"
"2018","Caleb Joseph","Orioles","82","265","280","58","39","14","2","3","28","17","10","0","68","3","1","1","3","2","1",".219","3.6 %","24.3 %","0.15",".254",".321",".575",".102","4.6",".282","18","-14.5",".251","53","-0.1","-1.4","0.6","43","98","96","106","3.9 %","38.2 %","33.2 %","28.6 %","15.6 %","60.3 %","24.1 %","7087"
"2017","Austin Romine","Yankees","80","229","252","50","38","9","1","2","19","21","16","0","57","2","3","2","7","0","0",".218","6.3 %","22.6 %","0.28",".272",".293",".565",".074","2.2",".277","16","-15.1",".250","50","-0.1","-0.6","-0.6","75","125","104","82","3.8 %","26.6 %","38.4 %","35.0 %","22.0 %","50.3 %","27.7 %","5491"
"2016","Carlos Perez","Angels","87","268","291","56","35","16","0","5","25","31","12","0","49","1","2","8","6","1","0",".209","4.1 %","16.8 %","0.24",".244",".325",".568",".116","2.7",".236","17","-17.2",".246","52","0.1","-0.5","-0.2","51","83","93","118","5.4 %","37.6 %","31.4 %","31.0 %","26.2 %","48.0 %","25.8 %","10642"
"2018","Jeff Mathis","Diamondbacks","69","195","218","39","28","9","1","1","15","20","20","1","66","0","2","1","7","0","0",".200","9.2 %","30.3 %","0.30",".272",".272",".544",".072","2.0",".292","13","-12.7",".243","47","-0.1","-2.1","-0.5","102","110","86","111","2.0 %","43.9 %","33.3 %","22.7 %","15.9 %","43.9 %","40.2 %","3448"
"2018","Christian Vazquez","Red Sox","80","251","269","52","39","10","0","3","24","16","13","1","41","4","0","1","5","4","1",".207","4.8 %","15.2 %","0.32",".257",".283",".540",".076","3.9",".237","15","-16.4",".240","42","0.3","-2.2","-0.2","58","101","100","99","3.9 %","33.2 %","31.8 %","35.1 %","18.0 %","54.5 %","27.5 %","9774"
"2018","Roberto Perez","Indians","62","179","210","30","18","9","1","2","16","19","21","0","70","1","2","7","6","1","0",".168","10.0 %","33.3 %","0.30",".256",".263",".519",".095","4.0",".257","11","-13.5",".236","40","0.1","-0.2","-0.4","120","70","117","97","5.3 %","33.1 %","43.2 %","23.7 %","14.4 %","44.9 %","40.7 %","2900"
"2016","A.J. Pierzynski","Braves","81","247","259","54","37","15","0","2","15","23","6","1","29","3","3","0","13","1","0",".219","2.3 %","11.2 %","0.21",".243",".304",".547",".085","2.2",".237","13","-17.6",".236","41","0.1","-0.6","-2.1","27","94","113","87","3.1 %","36.2 %","38.5 %","25.3 %","18.1 %","55.7 %","26.2 %","746"
"2018","Sandy Leon","Red Sox","89","265","288","47","30","12","0","5","30","22","15","0","75","4","1","3","6","1","0",".177","5.2 %","26.0 %","0.20",".232",".279",".511",".102","3.4",".226","13","-20.6",".227","34","0.1","-1.4","-0.2","63","80","98","114","6.4 %","44.6 %","33.2 %","22.3 %","21.8 %","51.8 %","26.4 %","5273"
"2016","Yan Gomes","Indians","74","251","264","42","21","11","1","9","22","34","9","0","69","2","2","0","7","0","0",".167","3.4 %","26.1 %","0.13",".201",".327",".527",".159","2.2",".189","11","-20.2",".225","30","-0.1","0.2","-0.4","43","80","88","127","10.8 %","42.4 %","34.2 %","23.4 %","17.4 %","55.4 %","27.2 %","9627"
"2018","Pedro Severino","Nationals","70","190","213","32","21","9","0","2","14","15","18","4","47","4","1","0","3","1","0",".168","8.5 %","22.1 %","0.38",".254",".247",".501",".079","2.5",".211","9","-16.2",".221","31","0.1","-0.8","-0.1","94","97","93","110","3.7 %","48.6 %","32.6 %","18.8 %","22.9 %","54.9 %","22.2 %","14523"
